Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link
Jayson Tatum,0,F-G,6-8,210 lbs,"MAR 03, 1998",26,7,Duke,#3 Pick In 2017 Draft,BOSTON CELTICS,https://www.nba.com/player/1628369/jayson-tatum/
Jrue Holiday,4,G,6-4,205 lbs,"JUN 12, 1990",34,15,UCLA,Traded From POR On 10/01/23,BOSTON CELTICS,https://www.nba.com/player/201950/jrue-holiday/
Jaylen Brown,7,G-F,6-6,223 lbs,"OCT 24, 1996",28,8,California,#3 Pick In 2016 Draft,BOSTON CELTICS,https://www.nba.com/player/1627759/jaylen-brown/
Kristaps Porziņģis,8,F-C,7-2,240 lbs,"AUG 02, 1995",29,8,Cajasol Sevilla,Traded From WAS On 06/23/23,BOSTON CELTICS,https://www.nba.com/player/204001/kristaps-porzi%C5%86%C4%A3is/
Derrick White,9,G,6-4,190 lbs,"JUL 02, 1994",30,7,Colorado,Traded From SAS On 02/10/22,BOSTON CELTICS,https://www.nba.com/player/1628401/derrick-white/
Payton Pritchard,11,G,6-1,195 lbs,"JAN 28, 1998",26,4,Oregon,#26 Pick In 2020 Draft,BOSTON CELTICS,https://www.nba.com/player/1630202/payton-pritchard/
Drew Peterson,13,F,6-9,205 lbs,"NOV 09, 1999",25,1,Southern California,Signed On 12/14/23,BOSTON CELTICS,https://www.nba.com/player/1641809/drew-peterson/
JD Davison,20,G,6-1,195 lbs,"OCT 03, 2002",22,2,Alabama,#53 Pick In 2022 Draft,BOSTON CELTICS,https://www.nba.com/player/1631120/jd-davison/
Xavier Tillman,26,F,6-7,245 lbs,"JAN 12, 1999",25,4,Michigan State,Traded From MEM On 02/07/24,BOSTON CELTICS,https://www.nba.com/player/1630214/xavier-tillman/
Jordan Walsh,27,G,6-6,205 lbs,"MAR 03, 2004",20,1,Arkansas,Draft Rights Traded From SAC On 06/28/23,BOSTON CELTICS,https://www.nba.com/player/1641775/jordan-walsh/
Anton Watson,28,F,6-8,225 lbs,"OCT 06, 2000",24,R,Gonzaga,#54 Pick In 2024 Draft,BOSTON CELTICS,https://www.nba.com/player/1641817/anton-watson/
Sam Hauser,30,F,6-7,217 lbs,"DEC 08, 1997",26,3,Virginia,Signed On 08/13/21,BOSTON CELTICS,https://www.nba.com/player/1630573/sam-hauser/
Luke Kornet,40,C-F,7-1,250 lbs,"JUL 15, 1995",29,7,Vanderbilt,Signed On 02/11/22,BOSTON CELTICS,https://www.nba.com/player/1628436/luke-kornet/
Al Horford,42,C-F,6-9,240 lbs,"JUN 03, 1986",38,17,Florida,Traded From OKC On 06/18/21,BOSTON CELTICS,https://www.nba.com/player/201143/al-horford/
Jaden Springer,44,G,6-4,202 lbs,"SEP 25, 2002",22,3,Tennessee,Traded From PHI On 02/08/24,BOSTON CELTICS,https://www.nba.com/player/1630531/jaden-springer/
Baylor Scheierman,55,G,6-6,205 lbs,"SEP 26, 2000",24,R,Creighton,#30 Pick In 2024 Draft,BOSTON CELTICS,https://www.nba.com/player/1631248/baylor-scheierman/
Neemias Queta,88,C,7-0,248 lbs,"JUL 13, 1999",25,3,Utah State,Signed On 09/19/23,BOSTON CELTICS,https://www.nba.com/player/1629674/neemias-queta/
Dariq Whitehead,0,G-F,6-6,220 lbs,"AUG 01, 2004",20,1,Duke,#22 Pick In 2023 Draft,BROOKLYN NETS,https://www.nba.com/player/1641727/dariq-whitehead/
Ziaire Williams,1,F,6-9,185 lbs,"SEP 12, 2001",23,3,Stanford,Traded From MEM On 07/19/24,BROOKLYN NETS,https://www.nba.com/player/1630533/ziaire-williams/
Cameron Johnson,2,F,6-8,210 lbs,"MAR 03, 1996",28,5,North Carolina,Traded From PHX On 02/09/23,BROOKLYN NETS,https://www.nba.com/player/1629661/cameron-johnson/
Shake Milton,7,G,6-5,205 lbs,"SEP 26, 1996",28,6,Southern Methodist,Traded From NYK On 07/06/24,BROOKLYN NETS,https://www.nba.com/player/1629003/shake-milton/
Cui Yongxi,8,F,6-5,190 lbs,"MAY 28, 2003",21,R,Guangzhou Loong Lions,Signed On 09/20/24,BROOKLYN NETS,https://www.nba.com/player/1642385/cui-yongxi/
Trendon Watford,9,G-F,6-8,237 lbs,"NOV 09, 2000",24,3,Louisiana State,Signed On 08/03/23,BROOKLYN NETS,https://www.nba.com/player/1630570/trendon-watford/
Ben Simmons,10,G-F,6-10,240 lbs,"JUL 20, 1996",28,6,Louisiana State,Traded From PHI On 02/10/22,BROOKLYN NETS,https://www.nba.com/player/1627732/ben-simmons/
Tyrese Martin,13,F,6-6,215 lbs,"MAR 07, 1999",25,1,Connecticut,Signed On 09/20/24,BROOKLYN NETS,https://www.nba.com/player/1631213/tyrese-martin/
Jaylen Martin,16,G,6-6,216 lbs,"JAN 28, 2004",20,R,Overtime Elite,Signed On 02/21/24,BROOKLYN NETS,https://www.nba.com/player/1641798/jaylen-martin/
Dennis Schröder,17,G,6-1,175 lbs,"SEP 15, 1993",31,11,Braunschweig,Traded From TOR On 02/08/24,BROOKLYN NETS,https://www.nba.com/player/203471/dennis-schr%C3%B6der/
Day'Ron Sharpe,20,C,6-9,265 lbs,"NOV 06, 2001",23,3,North Carolina,Draft Rights Traded From PHX On 08/06/21,BROOKLYN NETS,https://www.nba.com/player/1630549/dayron-sharpe/
Noah Clowney,21,F-C,6-9,210 lbs,"JUL 14, 2004",20,1,Alabama,#21 Pick In 2023 Draft,BROOKLYN NETS,https://www.nba.com/player/1641730/noah-clowney/
Jalen Wilson,22,F,6-6,220 lbs,"NOV 04, 2000",24,1,Kansas,#51 Pick In 2023 Draft,BROOKLYN NETS,https://www.nba.com/player/1630592/jalen-wilson/
Cam Thomas,24,G,6-3,210 lbs,"OCT 13, 2001",23,3,Louisiana State,#27 Pick In 2021 Draft,BROOKLYN NETS,https://www.nba.com/player/1630560/cam-thomas/
Dorian Finney-Smith,28,F,6-7,220 lbs,"MAY 04, 1993",31,8,Florida,Traded From DAL On 02/06/23,BROOKLYN NETS,https://www.nba.com/player/1627827/dorian-finney-smith/
Nic Claxton,33,C,6-11,215 lbs,"APR 17, 1999",25,5,Georgia,#31 Pick In 2019 Draft,BROOKLYN NETS,https://www.nba.com/player/1629651/nic-claxton/
Bojan Bogdanović,44,F,6-7,226 lbs,"APR 18, 1989",35,10,Fenerbahce,Traded From NYK On 07/06/24,BROOKLYN NETS,https://www.nba.com/player/202711/bojan-bogdanovi%C4%87/
Keon Johnson,45,G,6-5,185 lbs,"MAR 10, 2002",22,3,Tennessee,Signed On 11/01/23,BROOKLYN NETS,https://www.nba.com/player/1630553/keon-johnson/
Boo Buie III,,,6-2,180 lbs,"DEC 07, 1999",24,R,Northwestern,Signed On 10/07/24,NEW YORK KNICKS,https://www.nba.com/player/1642486/boo-buie-iii/
Jacob Toppin,00,F,6-8,200 lbs,"MAY 08, 2000",24,1,Kentucky,Signed On 07/06/23,NEW YORK KNICKS,https://www.nba.com/player/1631210/jacob-toppin/
Cameron Payne,1,G,6-3,183 lbs,"AUG 08, 1994",30,9,Murray State,Signed On 07/15/24,NEW YORK KNICKS,https://www.nba.com/player/1626166/cameron-payne/
Miles McBride,2,G,6-1,195 lbs,"SEP 08, 2000",24,3,West Virginia,Draft Rights Traded From OKC On 07/30/21,NEW YORK KNICKS,https://www.nba.com/player/1630540/miles-mcbride/
Josh Hart,3,G,6-4,215 lbs,"MAR 06, 1995",29,7,Villanova,Traded From POR On 02/09/23,NEW YORK KNICKS,https://www.nba.com/player/1628404/josh-hart/
Pacôme Dadiet,4,F,6-8,210 lbs,"JUL 27, 2005",19,R,Ratiopharm Ulm,#25 Pick In 2024 Draft,NEW YORK KNICKS,https://www.nba.com/player/1642359/pac%C3%B4me-dadiet/
Precious Achiuwa,5,F,6-8,243 lbs,"SEP 19, 1999",25,4,Memphis,Traded From TOR On 12/30/23,NEW YORK KNICKS,https://www.nba.com/player/1630173/precious-achiuwa/
OG Anunoby,8,F-G,6-7,240 lbs,"JUL 17, 1997",27,7,Indiana,Traded From TOR On 12/30/23,NEW YORK KNICKS,https://www.nba.com/player/1628384/og-anunoby/
Kevin McCullar Jr.,9,G,6-6,210 lbs,"MAR 15, 2001",23,R,Kansas,Draft Rights Traded From PHX On 06/27/24,NEW YORK KNICKS,https://www.nba.com/player/1641755/kevin-mccullar-jr/
Jalen Brunson,11,G,6-2,190 lbs,"AUG 31, 1996",28,6,Villanova,Signed On 07/12/22,NEW YORK KNICKS,https://www.nba.com/player/1628973/jalen-brunson/
Tyler Kolek,13,G,6-3,195 lbs,"MAR 27, 2001",23,R,Marquette,Draft Rights Traded From POR On 06/27/24,NEW YORK KNICKS,https://www.nba.com/player/1642278/tyler-kolek/
Jericho Sims,20,C,6-10,250 lbs,"OCT 20, 1998",26,3,Texas,#58 Pick In 2021 Draft,NEW YORK KNICKS,https://www.nba.com/player/1630579/jericho-sims/
Mitchell Robinson,23,C-F,7-0,240 lbs,"APR 01, 1998",26,6,Western Kentucky,#36 Pick In 2018 Draft,NEW YORK KNICKS,https://www.nba.com/player/1629011/mitchell-robinson/
Mikal Bridges,25,G-F,6-6,209 lbs,"AUG 30, 1996",28,6,Villanova,Traded From BKN On 07/06/24,NEW YORK KNICKS,https://www.nba.com/player/1628969/mikal-bridges/
Karl-Anthony Towns,32,C-F,7-0,248 lbs,"NOV 15, 1995",29,9,Kentucky,Traded From MIN On 10/02/24,NEW YORK KNICKS,https://www.nba.com/player/1626157/karl-anthony-towns/
Matt Ryan,37,F,6-6,215 lbs,"APR 17, 1997",27,3,Tennessee-Chattanooga,Signed On 11/05/24,NEW YORK KNICKS,https://www.nba.com/player/1630346/matt-ryan/
Ariel Hukporti,55,C,6-11,246 lbs,"APR 12, 2002",22,R,MHP Riesen,Draft Rights Traded From DAL On 06/27/24,NEW YORK KNICKS,https://www.nba.com/player/1630574/ariel-hukporti/
Tyrese Maxey,0,G,6-2,200 lbs,"NOV 04, 2000",24,4,Kentucky,#21 Pick In 2020 Draft,PHILADELPHIA 76ERS,https://www.nba.com/player/1630178/tyrese-maxey/
Reggie Jackson,00,G,6-2,208 lbs,"APR 16, 1990",34,13,Boston College,Signed On 07/30/24,PHILADELPHIA 76ERS,https://www.nba.com/player/202704/reggie-jackson/
KJ Martin,1,F,6-6,215 lbs,"JAN 06, 2001",23,4,IMG Academy (FL),Traded From LAC On 11/01/23,PHILADELPHIA 76ERS,https://www.nba.com/player/1630231/kj-martin/
Andre Drummond,5,C,6-11,279 lbs,"AUG 10, 1993",31,12,Connecticut,Signed On 07/07/24,PHILADELPHIA 76ERS,https://www.nba.com/player/203083/andre-drummond/
Kyle Lowry,7,G,6-0,196 lbs,"MAR 25, 1986",38,18,Villanova,Signed On 02/13/24,PHILADELPHIA 76ERS,https://www.nba.com/player/200768/kyle-lowry/
Paul George,8,F,6-8,220 lbs,"MAY 02, 1990",34,14,Fresno State,Signed On 07/06/24,PHILADELPHIA 76ERS,https://www.nba.com/player/202331/paul-george/
Kelly Oubre Jr.,9,F-G,6-8,203 lbs,"DEC 09, 1995",28,9,Kansas,Signed On 09/26/23,PHILADELPHIA 76ERS,https://www.nba.com/player/1626162/kelly-oubre-jr/
Jeff Dowtin Jr.,11,G,6-3,177 lbs,"MAY 10, 1997",27,3,Rhode Island,Signed On 03/02/24,PHILADELPHIA 76ERS,https://www.nba.com/player/1630288/jeff-dowtin-jr/
Ricky Council IV,14,G,6-6,207 lbs,"AUG 03, 2001",23,1,Arkansas,Signed On 07/01/23,PHILADELPHIA 76ERS,https://www.nba.com/player/1641741/ricky-council-iv/
Caleb Martin,16,F,6-5,205 lbs,"SEP 28, 1995",29,5,Nevada,Signed On 07/06/24,PHILADELPHIA 76ERS,https://www.nba.com/player/1628997/caleb-martin/
Justin Edwards,19,F,6-7,203 lbs,"DEC 16, 2003",20,R,Kentucky,Signed On 07/04/24,PHILADELPHIA 76ERS,https://www.nba.com/player/1642348/justin-edwards/
Jared McCain,20,G,6-3,195 lbs,"FEB 20, 2004",20,R,Duke,#16 Pick In 2024 Draft,PHILADELPHIA 76ERS,https://www.nba.com/player/1642272/jared-mccain/
Joel Embiid,21,C-F,7-0,280 lbs,"MAR 16, 1994",30,8,Kansas,#3 Pick In 2014 Draft,PHILADELPHIA 76ERS,https://www.nba.com/player/203954/joel-embiid/
Eric Gordon,23,G,6-3,215 lbs,"DEC 25, 1988",35,16,Indiana,Signed On 07/10/24,PHILADELPHIA 76ERS,https://www.nba.com/player/201569/eric-gordon/
Lester Quinones,25,G,6-4,208 lbs,"NOV 16, 2000",24,2,Memphis,Signed On 09/26/24,PHILADELPHIA 76ERS,https://www.nba.com/player/1631311/lester-quinones/
Guerschon Yabusele,28,F,6-8,265 lbs,"DEC 17, 1995",28,2,"Rouen, France",Signed On 08/29/24,PHILADELPHIA 76ERS,https://www.nba.com/player/1627824/guerschon-yabusele/
Adem Bona,30,F,6-10,235 lbs,"MAR 28, 2003",21,R,UCLA,#41 Pick In 2024 Draft,PHILADELPHIA 76ERS,https://www.nba.com/player/1641737/adem-bona/
Gradey Dick,1,G-F,6-6,200 lbs,"NOV 20, 2003",21,1,Kansas,#13 Pick In 2023 Draft,TORONTO RAPTORS,https://www.nba.com/player/1641711/gradey-dick/
Jonathan Mogbo,2,F,6-9,225 lbs,"OCT 29, 2001",23,R,San Francisco,#31 Pick In 2024 Draft,TORONTO RAPTORS,https://www.nba.com/player/1642367/jonathan-mogbo/
D.J. Carton,3,G,6-3,200 lbs,"AUG 05, 2000",24,1,Marquette,Signed On 02/21/24,TORONTO RAPTORS,https://www.nba.com/player/1630618/dj-carton/
Scottie Barnes,4,F-G,6-7,237 lbs,"AUG 01, 2001",23,3,Florida State,#4 Pick In 2021 Draft,TORONTO RAPTORS,https://www.nba.com/player/1630567/scottie-barnes/
Immanuel Quickley,5,G,6-2,190 lbs,"JUN 17, 1999",25,4,Kentucky,Traded From NYK On 12/30/23,TORONTO RAPTORS,https://www.nba.com/player/1630193/immanuel-quickley/
RJ Barrett,9,F-G,6-6,214 lbs,"JUN 14, 2000",24,5,Duke,Traded From NYK On 12/30/23,TORONTO RAPTORS,https://www.nba.com/player/1629628/rj-barrett/
Bruce Brown,11,G-F,6-4,202 lbs,"AUG 15, 1996",28,6,Miami,Traded From IND On 01/17/24,TORONTO RAPTORS,https://www.nba.com/player/1628971/bruce-brown/
Ja'Kobe Walter,14,G,6-5,180 lbs,"SEP 04, 2004",20,R,Baylor,#19 Pick In 2024 Draft,TORONTO RAPTORS,https://www.nba.com/player/1642266/jakobe-walter/
Garrett Temple,17,G-F,6-5,195 lbs,"MAY 08, 1986",38,14,Louisiana State,Signed On 07/31/23,TORONTO RAPTORS,https://www.nba.com/player/202066/garrett-temple/
Jakob Poeltl,19,C,7-0,260 lbs,"OCT 15, 1995",29,8,Utah,Traded From SAS On 02/09/23,TORONTO RAPTORS,https://www.nba.com/player/1627751/jakob-poeltl/
Ulrich Chomche,22,C,6-11,235 lbs,"DEC 30, 2005",18,R,NBA Global Academy,Draft Rights Traded From MEM On 07/06/24,TORONTO RAPTORS,https://www.nba.com/player/1642279/ulrich-chomche/
Jamal Shead,23,G,6-1,200 lbs,"JUL 24, 2002",22,R,Houston,Draft Rights Traded From SAC On 06/28/24,TORONTO RAPTORS,https://www.nba.com/player/1642347/jamal-shead/
Bruno Fernando,24,F-C,6-9,240 lbs,"AUG 15, 1998",26,5,Maryland,Signed On 08/02/24,TORONTO RAPTORS,https://www.nba.com/player/1628981/bruno-fernando/
Chris Boucher,25,F,6-9,200 lbs,"JAN 11, 1993",31,7,Oregon,Signed On 07/20/18,TORONTO RAPTORS,https://www.nba.com/player/1628449/chris-boucher/
Ochai Agbaji,30,G,6-5,215 lbs,"APR 20, 2000",24,2,Kansas,Traded From UTA On 02/08/24,TORONTO RAPTORS,https://www.nba.com/player/1630534/ochai-agbaji/
Kelly Olynyk,41,F-C,6-11,240 lbs,"APR 19, 1991",33,11,Gonzaga,Traded From UTA On 02/08/24,TORONTO RAPTORS,https://www.nba.com/player/203482/kelly-olynyk/
Davion Mitchell,45,G,6-0,202 lbs,"SEP 05, 1998",26,3,Baylor,Traded From SAC On 06/28/24,TORONTO RAPTORS,https://www.nba.com/player/1630558/davion-mitchell/
Jamison Battle,77,F,6-7,220 lbs,"MAY 10, 2001",23,R,Ohio State,Signed On 07/16/24,TORONTO RAPTORS,https://www.nba.com/player/1642419/jamison-battle/
Coby White,0,G,6-5,195 lbs,"FEB 16, 2000",24,5,North Carolina,#7 Pick In 2019 Draft,CHICAGO BULLS,https://www.nba.com/player/1629632/coby-white/
DJ Steward,00,G,6-2,162 lbs,"OCT 02, 2001",23,R,Duke,Signed On 07/21/24,CHICAGO BULLS,https://www.nba.com/player/1630569/dj-steward/
Lonzo Ball,2,G,6-6,190 lbs,"OCT 27, 1997",27,5,UCLA,Traded From NOP On 08/08/21,CHICAGO BULLS,https://www.nba.com/player/1628366/lonzo-ball/
Josh Giddey,3,G,6-8,216 lbs,"OCT 10, 2002",22,3,NBA Global Academy,Traded From OKC On 06/21/24,CHICAGO BULLS,https://www.nba.com/player/1630581/josh-giddey/
Jevon Carter,5,G,6-1,200 lbs,"SEP 14, 1995",29,6,West Virginia,Signed On 07/10/23,CHICAGO BULLS,https://www.nba.com/player/1628975/jevon-carter/
Jalen Smith,7,F-C,6-9,215 lbs,"MAR 16, 2000",24,4,Maryland,Signed On 07/08/24,CHICAGO BULLS,https://www.nba.com/player/1630188/jalen-smith/
Zach LaVine,8,G,6-5,200 lbs,"MAR 10, 1995",29,10,UCLA,Traded From MIN On 06/22/17,CHICAGO BULLS,https://www.nba.com/player/203897/zach-lavine/
Nikola Vučević,9,C,6-10,260 lbs,"OCT 24, 1990",34,13,Southern California,Traded From ORL On 03/25/21,CHICAGO BULLS,https://www.nba.com/player/202696/nikola-vu%C4%8Devi%C4%87/
Ayo Dosunmu,11,G,6-5,200 lbs,"JAN 17, 2000",24,3,Illinois,#38 Pick In 2021 Draft,CHICAGO BULLS,https://www.nba.com/player/1630245/ayo-dosunmu/
Torrey Craig,13,F,6-5,221 lbs,"DEC 19, 1990",33,7,South Carolina Upstate,Signed On 07/15/23,CHICAGO BULLS,https://www.nba.com/player/1628470/torrey-craig/
Matas Buzelis,14,F,6-10,209 lbs,"OCT 13, 2004",20,R,NBA G League Ignite,#11 Pick In 2024 Draft,CHICAGO BULLS,https://www.nba.com/player/1641824/matas-buzelis/
Julian Phillips,15,F,6-8,198 lbs,"NOV 05, 2003",21,1,Tennessee,Draft Rights Traded From WAS On 06/28/23,CHICAGO BULLS,https://www.nba.com/player/1641763/julian-phillips/
Adama Sanogo,21,F,6-9,245 lbs,"FEB 12, 2002",22,1,Connecticut,Signed On 07/10/23,CHICAGO BULLS,https://www.nba.com/player/1641766/adama-sanogo/
Talen Horton-Tucker,22,G,6-4,234 lbs,"NOV 25, 2000",23,5,Iowa State,Signed On 09/04/24,CHICAGO BULLS,https://www.nba.com/player/1629659/talen-horton-tucker/
Dalen Terry,25,F,6-7,195 lbs,"JUL 12, 2002",22,2,Arizona,#18 Pick In 2022 Draft,CHICAGO BULLS,https://www.nba.com/player/1631207/dalen-terry/
Chris Duarte,27,G,6-5,190 lbs,"JUN 13, 1997",27,3,Oregon,Traded From SAC On 07/08/24,CHICAGO BULLS,https://www.nba.com/player/1630537/chris-duarte/
E.J. Liddell,32,F,6-6,240 lbs,"DEC 18, 2000",23,1,Ohio State,Signed On 09/06/24,CHICAGO BULLS,https://www.nba.com/player/1630604/ej-liddell/
Patrick Williams,44,F,6-7,215 lbs,"AUG 26, 2001",23,4,Florida State,#4 Pick In 2020 Draft,CHICAGO BULLS,https://www.nba.com/player/1630172/patrick-williams/
Max Strus,1,G-F,6-5,215 lbs,"MAR 28, 1996",28,5,DePaul,Traded From MIA On 07/06/23,CLEVELAND CAVALIERS,https://www.nba.com/player/1629622/max-strus/
Ty Jerome,2,G-F,6-5,195 lbs,"JUL 08, 1997",27,5,Virginia,Signed On 07/06/23,CLEVELAND CAVALIERS,https://www.nba.com/player/1629660/ty-jerome/
Caris LeVert,3,G,6-6,205 lbs,"AUG 25, 1994",30,8,Michigan,Traded From IND On 02/07/22,CLEVELAND CAVALIERS,https://www.nba.com/player/1627747/caris-levert/
Evan Mobley,4,C,6-11,215 lbs,"JUN 18, 2001",23,3,Southern California,#3 Pick In 2021 Draft,CLEVELAND CAVALIERS,https://www.nba.com/player/1630596/evan-mobley/
Sam Merrill,5,G,6-4,205 lbs,"MAY 15, 1996",28,4,Utah State,Signed On 03/03/23,CLEVELAND CAVALIERS,https://www.nba.com/player/1630241/sam-merrill/
Craig Porter Jr.,9,G,6-1,180 lbs,"FEB 26, 2000",24,1,Wichita State,Signed On 07/03/23,CLEVELAND CAVALIERS,https://www.nba.com/player/1641854/craig-porter-jr/
Darius Garland,10,G,6-1,192 lbs,"JAN 26, 2000",24,5,Vanderbilt,#5 Pick In 2019 Draft,CLEVELAND CAVALIERS,https://www.nba.com/player/1629636/darius-garland/
Tristan Thompson,13,C-F,6-9,254 lbs,"MAR 13, 1991",33,13,Texas-Austin,Signed On 09/12/23,CLEVELAND CAVALIERS,https://www.nba.com/player/202684/tristan-thompson/
JT Thor,15,F,6-9,203 lbs,"AUG 26, 2002",22,3,Auburn,Signed On 09/08/24,CLEVELAND CAVALIERS,https://www.nba.com/player/1630550/jt-thor/
Georges Niang,20,F,6-7,230 lbs,"JUN 17, 1993",31,8,Iowa State,Signed On 07/06/23,CLEVELAND CAVALIERS,https://www.nba.com/player/1627777/georges-niang/
Emoni Bates,21,F,6-8,170 lbs,"JAN 28, 2004",20,1,Eastern Michigan,#49 Pick In 2023 Draft,CLEVELAND CAVALIERS,https://www.nba.com/player/1641734/emoni-bates/
Jaylon Tyson,24,G-F,6-6,215 lbs,"DEC 02, 2002",21,R,California,#20 Pick In 2024 Draft,CLEVELAND CAVALIERS,https://www.nba.com/player/1642281/jaylon-tyson/
Jarrett Allen,31,C,6-9,243 lbs,"APR 21, 1998",26,7,Texas,Traded From BKN On 01/16/21,CLEVELAND CAVALIERS,https://www.nba.com/player/1628386/jarrett-allen/
Dean Wade,32,F-C,6-9,228 lbs,"NOV 20, 1996",28,5,Kansas State,Signed On 07/01/19,CLEVELAND CAVALIERS,https://www.nba.com/player/1629731/dean-wade/
Luke Travers,33,F,6-7,207 lbs,"SEP 03, 2001",23,R,Rockingham Flames (Aus.),#56 Pick In 2022 Draft,CLEVELAND CAVALIERS,https://www.nba.com/player/1631247/luke-travers/
Isaac Okoro,35,F-G,6-5,225 lbs,"JAN 26, 2001",23,4,Auburn,#5 Pick In 2020 Draft,CLEVELAND CAVALIERS,https://www.nba.com/player/1630171/isaac-okoro/
Donovan Mitchell,45,G,6-3,215 lbs,"SEP 07, 1996",28,7,Louisville,Traded From UTA On 09/03/22,CLEVELAND CAVALIERS,https://www.nba.com/player/1628378/donovan-mitchell/
Jalen Duren,0,C,6-10,250 lbs,"NOV 18, 2003",21,2,Memphis,Draft Rights Traded From NYK On 07/06/22,DETROIT PISTONS,https://www.nba.com/player/1631105/jalen-duren/
Ronald Holland II,00,F,6-8,206 lbs,"JUL 07, 2005",19,R,NBA G League Ignite,#5 Pick In 2024 Draft,DETROIT PISTONS,https://www.nba.com/player/1641842/ronald-holland-ii/
Cade Cunningham,2,G,6-6,220 lbs,"SEP 25, 2001",23,3,Oklahoma State,#1 Pick In 2021 Draft,DETROIT PISTONS,https://www.nba.com/player/1630595/cade-cunningham/
Malik Beasley,5,G,6-4,187 lbs,"NOV 26, 1996",27,8,Florida State,Signed On 07/11/24,DETROIT PISTONS,https://www.nba.com/player/1627736/malik-beasley/
Paul Reed,7,F,6-9,210 lbs,"JUN 14, 1999",25,4,DePaul,Awarded On Waivers On 07/09/24,DETROIT PISTONS,https://www.nba.com/player/1630194/paul-reed/
Tim Hardaway Jr.,8,G-F,6-5,205 lbs,"MAR 16, 1992",32,11,Michigan,Traded From DAL On 07/06/24,DETROIT PISTONS,https://www.nba.com/player/203501/tim-hardaway-jr/
Ausar Thompson,9,G-F,6-6,205 lbs,"JAN 30, 2003",21,1,Overtime Elite,#5 Pick In 2023 Draft,DETROIT PISTONS,https://www.nba.com/player/1641709/ausar-thompson/
Tobias Harris,12,F,6-8,226 lbs,"JUL 15, 1992",32,13,Tennessee,Signed On 07/08/24,DETROIT PISTONS,https://www.nba.com/player/202699/tobias-harris/
Cole Swider,13,F,6-8,220 lbs,"MAY 08, 1999",25,2,Syracuse,Signed On 10/21/24,DETROIT PISTONS,https://www.nba.com/player/1631306/cole-swider/
Wendell Moore Jr.,14,G,6-5,215 lbs,"SEP 18, 2001",23,2,Duke,Traded From MIN On 07/06/24,DETROIT PISTONS,https://www.nba.com/player/1631111/wendell-moore-jr/
