Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link
Simone Fontecchio,19,F,6-7,209 lbs,"DEC 09, 1995",28,2,Baskonia,Traded From UTA On 02/08/24,DETROIT PISTONS,https://www.nba.com/player/1631323/simone-fontecchio/
Jaden Ivey,23,G,6-4,195 lbs,"FEB 13, 2002",22,2,Purdue,#5 Pick In 2022 Draft,DETROIT PISTONS,https://www.nba.com/player/1631093/jaden-ivey/
Daniss Jenkins,24,G,6-3,165 lbs,"AUG 17, 2001",23,R,St. John'S,Signed On 07/06/24,DETROIT PISTONS,https://www.nba.com/player/1642450/daniss-jenkins/
Marcus Sasser,25,G,6-2,195 lbs,"SEP 21, 2000",24,1,Houston,Draft Rights Traded From BOS On 06/28/23,DETROIT PISTONS,https://www.nba.com/player/1631204/marcus-sasser/
Isaiah Stewart,28,F-C,6-8,250 lbs,"MAY 22, 2001",23,4,Washington,Draft Rights Traded From HOU On 11/24/20,DETROIT PISTONS,https://www.nba.com/player/1630191/isaiah-stewart/
Alondes Williams,31,G,6-4,210 lbs,"JUN 19, 1999",25,2,Wake Forest,Signed On 10/22/24,DETROIT PISTONS,https://www.nba.com/player/1631214/alondes-williams/
Bobi Klintman,34,F,6-9,225 lbs,"MAR 06, 2003",21,R,Cairns,Draft Rights Traded From MIN On 07/06/24,DETROIT PISTONS,https://www.nba.com/player/1641752/bobi-klintman/
Tyrese Haliburton,0,G,6-5,185 lbs,"FEB 29, 2000",24,4,Iowa State,Traded From SAC On 02/08/22,INDIANA PACERS,https://www.nba.com/player/1630169/tyrese-haliburton/
Bennedict Mathurin,00,G-F,6-5,210 lbs,"JUN 19, 2002",22,2,Arizona,#6 Pick In 2022 Draft,INDIANA PACERS,https://www.nba.com/player/1631097/bennedict-mathurin/
Obi Toppin,1,F,6-9,220 lbs,"MAR 04, 1998",26,4,Dayton,Traded From NYK On 07/07/23,INDIANA PACERS,https://www.nba.com/player/1630167/obi-toppin/
Andrew Nembhard,2,G-F,6-4,191 lbs,"JAN 16, 2000",24,2,Gonzaga,#31 Pick In 2022 Draft,INDIANA PACERS,https://www.nba.com/player/1629614/andrew-nembhard/
Tristen Newton,4,G,6-5,190 lbs,"APR 26, 2001",23,R,Connecticut,#49 Pick In 2024 Draft,INDIANA PACERS,https://www.nba.com/player/1641803/tristen-newton/
Jarace Walker,5,F,6-7,235 lbs,"SEP 04, 2003",21,1,Houston,Draft Rights Traded From WAS On 06/23/23,INDIANA PACERS,https://www.nba.com/player/1641716/jarace-walker/
Enrique Freeman,8,F,6-7,206 lbs,"JUL 29, 2000",24,R,Akron,#50 Pick In 2024 Draft,INDIANA PACERS,https://www.nba.com/player/1642402/enrique-freeman/
T.J. McConnell,9,G,6-1,190 lbs,"MAR 25, 1992",32,9,Arizona,Signed On 07/29/19,INDIANA PACERS,https://www.nba.com/player/204456/tj-mcconnell/
Moses Brown,10,C,7-2,258 lbs,"OCT 13, 1999",25,5,UCLA,Signed On 11/20/24,INDIANA PACERS,https://www.nba.com/player/1629650/moses-brown/
Johnny Furphy,12,G,6-9,200 lbs,"DEC 08, 2004",19,R,Kansas,Draft Rights Traded From SAS On 07/06/24,INDIANA PACERS,https://www.nba.com/player/1642277/johnny-furphy/
James Wiseman,13,C,6-11,240 lbs,"MAR 31, 2001",23,3,Memphis,Signed On 07/05/24,INDIANA PACERS,https://www.nba.com/player/1630164/james-wiseman/
James Johnson,16,F,6-7,240 lbs,"FEB 20, 1987",37,15,Wake Forest,Signed On 09/15/22,INDIANA PACERS,https://www.nba.com/player/201949/james-johnson/
Isaiah Jackson,22,F,6-9,205 lbs,"JAN 10, 2002",22,3,Kentucky,Draft Rights Traded From LAL On 08/06/21,INDIANA PACERS,https://www.nba.com/player/1630543/isaiah-jackson/
Aaron Nesmith,23,G-F,6-6,215 lbs,"OCT 16, 1999",25,4,Vanderbilt,Traded From BOS On 07/09/22,INDIANA PACERS,https://www.nba.com/player/1630174/aaron-nesmith/
Ben Sheppard,26,G,6-6,190 lbs,"JUL 16, 2001",23,1,Belmont,#26 Pick In 2023 Draft,INDIANA PACERS,https://www.nba.com/player/1641767/ben-sheppard/
Quenton Jackson,29,G,6-5,173 lbs,"SEP 15, 1998",26,2,Texas A&M,Signed On 03/04/24,INDIANA PACERS,https://www.nba.com/player/1631245/quenton-jackson/
Myles Turner,33,C-F,6-11,250 lbs,"MAR 24, 1996",28,9,Texas,#11 Pick In 2015 Draft,INDIANA PACERS,https://www.nba.com/player/1626167/myles-turner/
Pascal Siakam,43,F,6-8,245 lbs,"APR 02, 1994",30,8,New Mexico State,Traded From TOR On 01/17/24,INDIANA PACERS,https://www.nba.com/player/1627783/pascal-siakam/
Damian Lillard,0,G,6-2,195 lbs,"JUL 15, 1990",34,12,Weber State,Traded From POR On 09/27/23,MILWAUKEE BUCKS,https://www.nba.com/player/203081/damian-lillard/
MarJon Beauchamp,3,F,6-7,199 lbs,"OCT 12, 2000",24,2,NBA G League Ignite,#24 Pick In 2022 Draft,MILWAUKEE BUCKS,https://www.nba.com/player/1630699/marjon-beauchamp/
Gary Trent Jr.,5,G,6-5,204 lbs,"JAN 18, 1999",25,6,Duke,Signed On 07/20/24,MILWAUKEE BUCKS,https://www.nba.com/player/1629018/gary-trent-jr/
Chris Livingston,7,F,6-6,220 lbs,"OCT 15, 2003",21,1,Kentucky,#58 Pick In 2023 Draft,MILWAUKEE BUCKS,https://www.nba.com/player/1641753/chris-livingston/
Bobby Portis,9,F,6-10,250 lbs,"FEB 10, 1995",29,9,Arkansas,Signed On 11/24/20,MILWAUKEE BUCKS,https://www.nba.com/player/1626171/bobby-portis/
Brook Lopez,11,C,7-1,282 lbs,"APR 01, 1988",36,16,Stanford,Signed On 07/17/18,MILWAUKEE BUCKS,https://www.nba.com/player/201572/brook-lopez/
Taurean Prince,12,F,6-6,218 lbs,"MAR 22, 1994",30,8,Baylor,Signed On 07/09/24,MILWAUKEE BUCKS,https://www.nba.com/player/1627752/taurean-prince/
Ryan Rollins,13,G,6-3,180 lbs,"JUL 03, 2002",22,2,Toledo,Signed On 02/20/24,MILWAUKEE BUCKS,https://www.nba.com/player/1631157/ryan-rollins/
Liam Robbins,15,C,7-0,250 lbs,"JUL 12, 1999",25,R,Vanderbilt,Signed On 08/27/24,MILWAUKEE BUCKS,https://www.nba.com/player/1641857/liam-robbins/
Stanley Umude,17,G,6-6,210 lbs,"APR 12, 1999",25,2,Arkansas,Signed On 07/09/24,MILWAUKEE BUCKS,https://www.nba.com/player/1630649/stanley-umude/
AJ Green,20,G,6-4,190 lbs,"SEP 27, 1999",25,2,Northern Iowa,Signed On 07/01/22,MILWAUKEE BUCKS,https://www.nba.com/player/1631260/aj-green/
Tyler Smith,21,F,6-9,224 lbs,"NOV 02, 2004",20,R,NBA G League Ignite,#33 Pick In 2024 Draft,MILWAUKEE BUCKS,https://www.nba.com/player/1641890/tyler-smith/
Khris Middleton,22,F,6-7,222 lbs,"AUG 12, 1991",33,12,Texas A&M,Traded From DET On 07/31/13,MILWAUKEE BUCKS,https://www.nba.com/player/203114/khris-middleton/
Pat Connaughton,24,G,6-5,209 lbs,"JAN 06, 1993",31,9,Notre Dame,Signed On 08/01/18,MILWAUKEE BUCKS,https://www.nba.com/player/1626192/pat-connaughton/
Giannis Antetokounmpo,34,F,6-11,243 lbs,"DEC 06, 1994",29,11,Filathlitikos,#15 Pick In 2013 Draft,MILWAUKEE BUCKS,https://www.nba.com/player/203507/giannis-antetokounmpo/
Andre Jackson Jr.,44,G,6-6,209 lbs,"NOV 13, 2001",23,1,Connecticut,Draft Rights Traded From ORL On 06/22/23,MILWAUKEE BUCKS,https://www.nba.com/player/1641748/andre-jackson-jr/
Delon Wright,55,G,6-5,185 lbs,"APR 26, 1992",32,9,Utah,Signed On 07/06/24,MILWAUKEE BUCKS,https://www.nba.com/player/1626153/delon-wright/
AJ Johnson,77,G,6-5,160 lbs,"DEC 01, 2004",19,R,Illawarra,#23 Pick In 2024 Draft,MILWAUKEE BUCKS,https://www.nba.com/player/1642358/aj-johnson/
Jalen Johnson,1,F,6-8,219 lbs,"DEC 18, 2001",22,3,Duke,#20 Pick In 2021 Draft,ATLANTA HAWKS,https://www.nba.com/player/1630552/jalen-johnson/
Keaton Wallace,2,G,6-3,185 lbs,"FEB 26, 1999",25,R,Texas-San Antonio,Signed On 09/29/23,ATLANTA HAWKS,https://www.nba.com/player/1630811/keaton-wallace/
Seth Lundy,3,G-F,6-4,220 lbs,"APR 02, 2000",24,1,Penn State,#46 Pick In 2023 Draft,ATLANTA HAWKS,https://www.nba.com/player/1641754/seth-lundy/
Kobe Bufkin,4,G,6-4,195 lbs,"SEP 21, 2003",21,1,Michigan,#15 Pick In 2023 Draft,ATLANTA HAWKS,https://www.nba.com/player/1641723/kobe-bufkin/
Dyson Daniels,5,G,6-7,199 lbs,"MAR 17, 2003",21,2,NBA G League Ignite,Traded From NOP On 07/06/24,ATLANTA HAWKS,https://www.nba.com/player/1630700/dyson-daniels/
David Roddy,8,F,6-4,255 lbs,"MAR 27, 2001",23,2,Colorado State,Traded From PHX On 07/29/24,ATLANTA HAWKS,https://www.nba.com/player/1631223/david-roddy/
Zaccharie Risacher,10,F,6-8,200 lbs,"APR 08, 2005",19,R,JL Bourg-En-Bresse,#1 Pick In 2024 Draft,ATLANTA HAWKS,https://www.nba.com/player/1642258/zaccharie-risacher/
Trae Young,11,G,6-1,164 lbs,"SEP 19, 1998",26,6,Oklahoma,Draft Rights Traded From DAL On 06/21/18,ATLANTA HAWKS,https://www.nba.com/player/1629027/trae-young/
De'Andre Hunter,12,F-G,6-8,221 lbs,"DEC 02, 1997",26,5,Virginia,Draft Rights Traded From NOP On 07/07/19,ATLANTA HAWKS,https://www.nba.com/player/1629631/deandre-hunter/
Bogdan Bogdanović,13,G,6-5,225 lbs,"AUG 18, 1992",32,7,Fenerbahce,Signed On 11/25/20,ATLANTA HAWKS,https://www.nba.com/player/203992/bogdan-bogdanovi%C4%87/
Clint Capela,15,C,6-10,256 lbs,"MAY 18, 1994",30,10,Elan Chalon,Traded From HOU On 02/05/20,ATLANTA HAWKS,https://www.nba.com/player/203991/clint-capela/
Onyeka Okongwu,17,F-C,6-10,240 lbs,"DEC 11, 2000",23,4,Southern California,#6 Pick In 2020 Draft,ATLANTA HAWKS,https://www.nba.com/player/1630168/onyeka-okongwu/
Mouhamed Gueye,18,F,6-10,210 lbs,"NOV 09, 2002",22,1,Washington State,Draft Rights Traded From BOS On 06/28/23,ATLANTA HAWKS,https://www.nba.com/player/1631243/mouhamed-gueye/
Larry Nance Jr.,22,F-C,6-8,245 lbs,"JAN 01, 1993",31,9,Wyoming,Traded From NOP On 07/06/24,ATLANTA HAWKS,https://www.nba.com/player/1626204/larry-nance-jr/
Garrison Mathews,24,G,6-6,215 lbs,"OCT 24, 1996",28,5,Lipscomb,Traded From HOU On 02/09/23,ATLANTA HAWKS,https://www.nba.com/player/1629726/garrison-mathews/
Dominick Barlow,26,F,6-8,215 lbs,"MAY 26, 2003",21,2,Overtime Elite,Signed On 07/30/24,ATLANTA HAWKS,https://www.nba.com/player/1631230/dominick-barlow/
Vít Krejčí,27,G,6-8,195 lbs,"JUN 19, 2000",24,3,Zaragoza,Signed On 12/22/23,ATLANTA HAWKS,https://www.nba.com/player/1630249/v%C3%ADt-krej%C4%8D%C3%AD/
Cody Zeller,40,F-C,6-11,240 lbs,"OCT 05, 1992",32,11,Indiana,Traded From NOP On 07/06/24,ATLANTA HAWKS,https://www.nba.com/player/203469/cody-zeller/
Miles Bridges,0,F,6-7,225 lbs,"MAR 21, 1998",26,5,Michigan State,Draft Rights Traded From LAC On 06/21/18,CHARLOTTE HORNETS,https://www.nba.com/player/1628970/miles-bridges/
LaMelo Ball,1,G,6-7,180 lbs,"AUG 22, 2001",23,4,Illawarra,#3 Pick In 2020 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1630163/lamelo-ball/
Grant Williams,2,F,6-6,236 lbs,"NOV 30, 1998",25,5,Tennessee,Traded From DAL On 02/08/24,CHARLOTTE HORNETS,https://www.nba.com/player/1629684/grant-williams/
DaQuan Jeffries,3,G-F,6-5,222 lbs,"AUG 30, 1997",27,5,Tulsa,Traded From NYK On 10/02/24,CHARLOTTE HORNETS,https://www.nba.com/player/1629610/daquan-jeffries/
Nick Richards,4,C,7-0,245 lbs,"NOV 29, 1997",26,4,Kentucky,Draft Rights Traded From NOP On 11/19/20,CHARLOTTE HORNETS,https://www.nba.com/player/1630208/nick-richards/
Mark Williams,5,C,7-0,240 lbs,"DEC 16, 2001",22,2,Duke,#15 Pick In 2022 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1631109/mark-williams/
Nick Smith Jr.,8,G,6-2,185 lbs,"APR 18, 2004",20,1,Arkansas,#27 Pick In 2023 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1641733/nick-smith-jr/
Josh Green,10,G,6-5,200 lbs,"NOV 16, 2000",24,4,Arizona,Traded From DAL On 07/06/24,CHARLOTTE HORNETS,https://www.nba.com/player/1630182/josh-green/
Cody Martin,11,F,6-6,205 lbs,"SEP 28, 1995",29,5,Nevada,#36 Pick In 2019 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1628998/cody-martin/
Moussa Diabaté,14,F,6-9,210 lbs,"JAN 21, 2002",22,2,Michigan,Signed On 07/31/24,CHARLOTTE HORNETS,https://www.nba.com/player/1631217/moussa-diabat%C3%A9/
Vasilije Micić,22,G,6-3,188 lbs,"JAN 13, 1994",30,1,Serbia,Traded From OKC On 02/08/24,CHARLOTTE HORNETS,https://www.nba.com/player/203995/vasilije-mici%C4%87/
Tre Mann,23,G,6-3,178 lbs,"FEB 03, 2001",23,3,Florida,Traded From OKC On 02/08/24,CHARLOTTE HORNETS,https://www.nba.com/player/1630544/tre-mann/
Brandon Miller,24,F,6-7,200 lbs,"NOV 22, 2002",21,1,Alabama,#2 Pick In 2023 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1641706/brandon-miller/
KJ Simpson,25,G,6-0,189 lbs,"AUG 08, 2002",22,R,Colorado,#42 Pick In 2024 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1642354/kj-simpson/
Jared Rhoden,27,G,6-5,210 lbs,"AUG 27, 1999",25,2,Seton Hall,Awarded On Waivers On 10/21/24,CHARLOTTE HORNETS,https://www.nba.com/player/1631197/jared-rhoden/
Seth Curry,30,G,6-1,185 lbs,"AUG 23, 1990",34,10,Duke,Traded From DAL On 02/08/24,CHARLOTTE HORNETS,https://www.nba.com/player/203552/seth-curry/
Tidjane Salaün,31,F,6-8,207 lbs,"AUG 10, 2005",19,R,Cholet,#6 Pick In 2024 Draft,CHARLOTTE HORNETS,https://www.nba.com/player/1642275/tidjane-sala%C3%BCn/
Taj Gibson,67,F,6-9,232 lbs,"JUN 24, 1985",39,15,Southern California,Signed On 07/13/24,CHARLOTTE HORNETS,https://www.nba.com/player/201959/taj-gibson/
Josh Richardson,0,G,6-5,200 lbs,"SEP 15, 1993",31,9,Tennessee,Signed On 07/02/23,MIAMI HEAT,https://www.nba.com/player/1626196/josh-richardson/
Terry Rozier,2,G,6-1,190 lbs,"MAR 17, 1994",30,9,Louisville,Traded From CHA On 01/23/24,MIAMI HEAT,https://www.nba.com/player/1626179/terry-rozier/
Nikola Jović,5,F,6-10,205 lbs,"JUN 09, 2003",21,2,Mega Basket,#27 Pick In 2022 Draft,MIAMI HEAT,https://www.nba.com/player/1631107/nikola-jovi%C4%87/
Kel'el Ware,7,C,7-0,230 lbs,"APR 20, 2004",20,R,Indiana,#15 Pick In 2024 Draft,MIAMI HEAT,https://www.nba.com/player/1642276/kelel-ware/
Josh Christopher,8,G,6-4,215 lbs,"DEC 08, 2001",22,2,Arizona State,Signed On 07/25/24,MIAMI HEAT,https://www.nba.com/player/1630528/josh-christopher/
Pelle Larsson,9,G,6-5,215 lbs,"FEB 23, 2001",23,R,Arizona,Draft Rights Traded From HOU On 06/27/24,MIAMI HEAT,https://www.nba.com/player/1641796/pelle-larsson/
Jaime Jaquez Jr.,11,G,6-6,225 lbs,"FEB 18, 2001",23,1,UCLA,#18 Pick In 2023 Draft,MIAMI HEAT,https://www.nba.com/player/1631170/jaime-jaquez-jr/
Dru Smith,12,G,6-2,203 lbs,"DEC 30, 1997",26,2,Missouri,Signed On 07/01/23,MIAMI HEAT,https://www.nba.com/player/1630696/dru-smith/
Bam Adebayo,13,C-F,6-9,255 lbs,"JUL 18, 1997",27,7,Kentucky,#14 Pick In 2017 Draft,MIAMI HEAT,https://www.nba.com/player/1628389/bam-adebayo/
Tyler Herro,14,G,6-5,195 lbs,"JAN 20, 2000",24,5,Kentucky,#13 Pick In 2019 Draft,MIAMI HEAT,https://www.nba.com/player/1629639/tyler-herro/
Keshad Johnson,16,F,6-7,225 lbs,"JUN 23, 2001",23,R,Arizona,Signed On 07/01/24,MIAMI HEAT,https://www.nba.com/player/1642352/keshad-johnson/
Alec Burks,18,G,6-5,214 lbs,"JUL 20, 1991",33,13,Colorado,Signed On 07/04/24,MIAMI HEAT,https://www.nba.com/player/202692/alec-burks/
Jimmy Butler,22,F,6-7,230 lbs,"SEP 14, 1989",35,13,Marquette,Traded From PHI On 07/06/19,MIAMI HEAT,https://www.nba.com/player/202710/jimmy-butler/
Haywood Highsmith,24,F,6-5,220 lbs,"DEC 09, 1996",27,4,Wheeling Jesuit,Signed On 12/30/21,MIAMI HEAT,https://www.nba.com/player/1629312/haywood-highsmith/
Thomas Bryant,31,C-F,6-10,248 lbs,"JUL 31, 1997",27,7,Indiana,Signed On 07/02/23,MIAMI HEAT,https://www.nba.com/player/1628418/thomas-bryant/
Kevin Love,42,F-C,6-8,251 lbs,"SEP 07, 1988",36,16,UCLA,Signed On 02/20/23,MIAMI HEAT,https://www.nba.com/player/201567/kevin-love/
Duncan Robinson,55,F,6-7,215 lbs,"APR 22, 1994",30,6,Michigan,Signed On 07/10/18,MIAMI HEAT,https://www.nba.com/player/1629130/duncan-robinson/
Anthony Black,0,G,6-7,200 lbs,"JAN 20, 2004",20,1,Arkansas,#6 Pick In 2023 Draft,ORLANDO MAGIC,https://www.nba.com/player/1641710/anthony-black/
Jonathan Isaac,1,F,6-10,230 lbs,"OCT 03, 1997",27,5,Florida State,#6 Pick In 2017 Draft,ORLANDO MAGIC,https://www.nba.com/player/1628371/jonathan-isaac/
Caleb Houstan,2,G,6-8,205 lbs,"JAN 09, 2003",21,2,Michigan,#32 Pick In 2022 Draft,ORLANDO MAGIC,https://www.nba.com/player/1631216/caleb-houstan/
Kentavious Caldwell-Pope,3,G,6-5,204 lbs,"FEB 18, 1993",31,11,Georgia,Signed On 07/06/24,ORLANDO MAGIC,https://www.nba.com/player/203484/kentavious-caldwell-pope/
Jalen Suggs,4,G,6-5,205 lbs,"JUN 03, 2001",23,3,Gonzaga,#5 Pick In 2021 Draft,ORLANDO MAGIC,https://www.nba.com/player/1630591/jalen-suggs/
Paolo Banchero,5,F,6-10,250 lbs,"NOV 12, 2002",22,2,Duke,#1 Pick In 2022 Draft,ORLANDO MAGIC,https://www.nba.com/player/1631094/paolo-banchero/
Mac McClung,8,G,6-2,185 lbs,"JAN 06, 1999",25,2,Texas Tech,Signed On 09/13/23,ORLANDO MAGIC,https://www.nba.com/player/1630644/mac-mcclung/
Cory Joseph,10,G,6-2,200 lbs,"AUG 20, 1991",33,13,Texas,Signed On 07/19/24,ORLANDO MAGIC,https://www.nba.com/player/202709/cory-joseph/
Trevelin Queen,12,G,6-5,190 lbs,"FEB 25, 1997",27,3,New Mexico State,Signed On 09/12/23,ORLANDO MAGIC,https://www.nba.com/player/1630243/trevelin-queen/
Jett Howard,13,G,6-6,215 lbs,"SEP 14, 2003",21,1,Michigan,#11 Pick In 2023 Draft,ORLANDO MAGIC,https://www.nba.com/player/1641724/jett-howard/
Gary Harris,14,G,6-4,210 lbs,"SEP 14, 1994",30,10,Michigan State,Traded From DEN On 03/25/21,ORLANDO MAGIC,https://www.nba.com/player/203914/gary-harris/
Moritz Wagner,21,F-C,6-11,245 lbs,"APR 26, 1997",27,6,Michigan,Signed On 04/27/21,ORLANDO MAGIC,https://www.nba.com/player/1629021/moritz-wagner/
Franz Wagner,22,F,6-10,220 lbs,"AUG 27, 2001",23,3,Michigan,#8 Pick In 2021 Draft,ORLANDO MAGIC,https://www.nba.com/player/1630532/franz-wagner/
Tristan da Silva,23,F,6-8,217 lbs,"MAY 15, 2001",23,R,Colorado,#18 Pick In 2024 Draft,ORLANDO MAGIC,https://www.nba.com/player/1641783/tristan-da-silva/
Wendell Carter Jr.,34,C-F,6-10,270 lbs,"APR 16, 1999",25,6,Duke,Traded From CHI On 03/25/21,ORLANDO MAGIC,https://www.nba.com/player/1628976/wendell-carter-jr/
Goga Bitadze,35,C-F,6-10,250 lbs,"JUL 20, 1999",25,5,Mega Basket,Signed On 02/13/23,ORLANDO MAGIC,https://www.nba.com/player/1629048/goga-bitadze/
Cole Anthony,50,G,6-2,185 lbs,"MAY 15, 2000",24,4,North Carolina,#15 Pick In 2020 Draft,ORLANDO MAGIC,https://www.nba.com/player/1630175/cole-anthony/
Bilal Coulibaly,0,G,6-8,195 lbs,"JUL 26, 2004",20,1,Metropolitans 92,Draft Rights Traded From IND On 06/23/23,WASHINGTON WIZARDS,https://www.nba.com/player/1641731/bilal-coulibaly/
Tristan Vukcevic,00,F,6-10,220 lbs,"MAR 11, 2003",21,1,Real Madrid,#42 Pick In 2023 Draft,WASHINGTON WIZARDS,https://www.nba.com/player/1641774/tristan-vukcevic/
Johnny Davis,1,G,6-4,195 lbs,"FEB 27, 2002",22,2,Wisconsin,#10 Pick In 2022 Draft,WASHINGTON WIZARDS,https://www.nba.com/player/1631098/johnny-davis/
Jared Butler,4,G,6-3,193 lbs,"AUG 25, 2000",24,3,Baylor,Signed On 07/28/23,WASHINGTON WIZARDS,https://www.nba.com/player/1630215/jared-butler/
Patrick Baldwin Jr.,7,F,6-9,220 lbs,"NOV 18, 2002",22,2,Wisconsin-Milwaukee,Traded From GSW On 07/06/23,WASHINGTON WIZARDS,https://www.nba.com/player/1631116/patrick-baldwin-jr/
Carlton Carrington,8,G,6-4,190 lbs,"JUL 21, 2005",19,R,Pittsburgh,Draft Rights Traded From POR On 07/06/24,WASHINGTON WIZARDS,https://www.nba.com/player/1642267/carlton-carrington/
Justin Champagnie,9,G-F,6-6,206 lbs,"JUN 29, 2001",23,3,Pittsburgh,Signed On 02/22/24,WASHINGTON WIZARDS,https://www.nba.com/player/1630551/justin-champagnie/
Jordan Poole,13,G,6-4,194 lbs,"JUN 19, 1999",25,5,Michigan,Traded From GSW On 07/06/23,WASHINGTON WIZARDS,https://www.nba.com/player/1629673/jordan-poole/
Saddiq Bey,14,G-F,6-7,215 lbs,"APR 09, 1999",25,4,Villanova,Signed On 07/11/24,WASHINGTON WIZARDS,https://www.nba.com/player/1630180/saddiq-bey/
Malcolm Brogdon,15,G,6-4,229 lbs,"DEC 11, 1992",31,8,Virginia,Traded From POR On 07/06/24,WASHINGTON WIZARDS,https://www.nba.com/player/1627763/malcolm-brogdon/
Anthony Gill,16,F,6-8,230 lbs,"OCT 17, 1992",32,4,Virginia,Signed On 11/30/20,WASHINGTON WIZARDS,https://www.nba.com/player/1630264/anthony-gill/
Jonas Valančiūnas,17,C,6-11,265 lbs,"MAY 06, 1992",32,12,Lietuvos Rytas Vilnius,Traded From NOP On 07/06/24,WASHINGTON WIZARDS,https://www.nba.com/player/202685/jonas-valan%C4%8Di%C5%ABnas/
Kyshawn George,18,F,6-8,200 lbs,"DEC 12, 2003",20,R,Miami,Draft Rights Traded From NYK On 06/26/24,WASHINGTON WIZARDS,https://www.nba.com/player/1642273/kyshawn-george/
Alexandre Sarr,20,C,7-0,205 lbs,"APR 26, 2005",19,R,Perth,#2 Pick In 2024 Draft,WASHINGTON WIZARDS,https://www.nba.com/player/1642259/alexandre-sarr/
Richaun Holmes,22,F,6-9,235 lbs,"OCT 15, 1993",31,9,Bowling Green,Traded From DAL On 02/08/24,WASHINGTON WIZARDS,https://www.nba.com/player/1626158/richaun-holmes/
Corey Kispert,24,F,6-6,224 lbs,"MAR 03, 1999",25,3,Gonzaga,#15 Pick In 2021 Draft,WASHINGTON WIZARDS,https://www.nba.com/player/1630557/corey-kispert/
Kyle Kuzma,33,F,6-9,221 lbs,"JUL 24, 1995",29,7,Utah,Traded From LAL On 08/06/21,WASHINGTON WIZARDS,https://www.nba.com/player/1628398/kyle-kuzma/
Marvin Bagley III,35,F,6-10,235 lbs,"MAR 14, 1999",25,6,Duke,Traded From DET On 01/14/24,WASHINGTON WIZARDS,https://www.nba.com/player/1628963/marvin-bagley-iii/
Christian Braun,0,G,6-6,220 lbs,"APR 17, 2001",23,2,Kansas,#21 Pick In 2022 Draft,DENVER NUGGETS,https://www.nba.com/player/1631128/christian-braun/
Michael Porter Jr.,1,F,6-10,218 lbs,"JUN 29, 1998",26,5,Missouri,#14 Pick In 2018 Draft,DENVER NUGGETS,https://www.nba.com/player/1629008/michael-porter-jr/
