Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link
Julian Strawther,3,G,6-6,205 lbs,"APR 18, 2002",22,1,Gonzaga,Draft Rights Traded From IND On 06/23/23,DENVER NUGGETS,https://www.nba.com/player/1631124/julian-strawther/
Russell Westbrook,4,G,6-4,200 lbs,"NOV 12, 1988",36,16,UCLA,Signed On 07/26/24,DENVER NUGGETS,https://www.nba.com/player/201566/russell-westbrook/
Hunter Tyson,5,F,6-8,215 lbs,"JUN 13, 2000",24,1,Clemson,Draft Rights Traded From OKC On 06/23/23,DENVER NUGGETS,https://www.nba.com/player/1641816/hunter-tyson/
DeAndre Jordan,6,C,6-11,265 lbs,"JUL 21, 1988",36,16,Texas A&M,Signed On 07/11/22,DENVER NUGGETS,https://www.nba.com/player/201599/deandre-jordan/
Peyton Watson,8,G,6-7,200 lbs,"SEP 11, 2002",22,2,UCLA,Draft Rights Traded From OKC On 06/23/22,DENVER NUGGETS,https://www.nba.com/player/1631212/peyton-watson/
Dario Šarić,9,F-C,6-10,225 lbs,"APR 08, 1994",30,7,Anadolu Efes,Signed On 07/12/24,DENVER NUGGETS,https://www.nba.com/player/203967/dario-%C5%A1ari%C4%87/
PJ Hall,13,C,6-10,245 lbs,"FEB 21, 2002",22,R,Clemson,Signed On 07/10/24,DENVER NUGGETS,https://www.nba.com/player/1641790/pj-hall/
DaRon Holmes II,14,F,6-10,225 lbs,"AUG 15, 2002",22,R,Dayton,Draft Rights Traded From PHX On 06/26/24,DENVER NUGGETS,https://www.nba.com/player/1641747/daron-holmes-ii/
Nikola Jokić,15,C,6-11,284 lbs,"FEB 19, 1995",29,9,Mega Basket,#41 Pick In 2014 Draft,DENVER NUGGETS,https://www.nba.com/player/203999/nikola-joki%C4%87/
Spencer Jones,21,F,6-7,225 lbs,"JUN 14, 2001",23,R,Stanford,Signed On 07/30/24,DENVER NUGGETS,https://www.nba.com/player/1642461/spencer-jones/
Zeke Nnaji,22,F-C,6-9,240 lbs,"JAN 09, 2001",23,4,Arizona,#22 Pick In 2020 Draft,DENVER NUGGETS,https://www.nba.com/player/1630192/zeke-nnaji/
Trey Alexander,23,G,6-4,185 lbs,"MAY 02, 2003",21,R,Creighton,Signed On 07/03/24,DENVER NUGGETS,https://www.nba.com/player/1641725/trey-alexander/
Jalen Pickett,24,G,6-2,202 lbs,"OCT 22, 1999",25,1,Penn State,Draft Rights Traded From IND On 06/23/23,DENVER NUGGETS,https://www.nba.com/player/1629618/jalen-pickett/
Jamal Murray,27,G,6-4,215 lbs,"FEB 23, 1997",27,7,Kentucky,#7 Pick In 2016 Draft,DENVER NUGGETS,https://www.nba.com/player/1627750/jamal-murray/
Vlatko Čančar,31,F,6-8,236 lbs,"APR 10, 1997",27,4,San Pablo Burgos,#49 Pick In 2017 Draft,DENVER NUGGETS,https://www.nba.com/player/1628427/vlatko-%C4%8Dan%C4%8Dar/
Aaron Gordon,32,F,6-8,235 lbs,"SEP 16, 1995",29,10,Arizona,Traded From ORL On 03/25/21,DENVER NUGGETS,https://www.nba.com/player/203932/aaron-gordon/
Terrence Shannon Jr.,00,G-F,6-6,215 lbs,"JUL 30, 2000",24,R,Illinois,#27 Pick In 2024 Draft,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1630545/terrence-shannon-jr/
Donte DiVincenzo,0,G,6-4,203 lbs,"JAN 31, 1997",27,6,Villanova,Traded From NYK On 10/02/24,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1628978/donte-divincenzo/
Daishen Nix,1,G,6-4,238 lbs,"FEB 13, 2002",22,3,NBA G League Ignite,Signed On 09/21/23,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1630227/daishen-nix/
Jaden McDaniels,3,F,6-9,185 lbs,"SEP 29, 2000",24,4,Washington,Draft Rights Traded From OKC On 11/20/20,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1630183/jaden-mcdaniels/
Rob Dillingham,4,G,6-3,175 lbs,"JAN 04, 2005",19,R,Kentucky,Draft Rights Traded From SAS On 06/26/24,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1642265/rob-dillingham/
Anthony Edwards,5,G,6-4,225 lbs,"AUG 05, 2001",23,4,Georgia,#1 Pick In 2020 Draft,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1630162/anthony-edwards/
Joe Ingles,7,F-G,6-8,220 lbs,"OCT 02, 1987",37,10,Maccabi Tel Aviv,Signed On 07/06/24,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/204060/joe-ingles/
Josh Minott,8,F,6-8,205 lbs,"NOV 25, 2002",21,2,Memphis,Draft Rights Traded From CHA On 06/24/22,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1631169/josh-minott/
Nickeil Alexander-Walker,9,G,6-5,205 lbs,"SEP 02, 1998",26,5,Virginia Tech,Traded From UTA On 02/09/23,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1629638/nickeil-alexander-walker/
Mike Conley,10,G,6-0,175 lbs,"OCT 11, 1987",37,17,Ohio State,Traded From UTA On 02/09/23,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/201144/mike-conley/
Naz Reid,11,C-F,6-9,264 lbs,"AUG 26, 1999",25,5,Louisiana State,Signed On 07/04/19,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1629675/naz-reid/
Jesse Edwards,14,C,7-0,236 lbs,"MAR 18, 2000",24,R,West Virginia,Signed On 07/09/24,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1642399/jesse-edwards/
Jaylen Clark,22,G,6-4,205 lbs,"OCT 13, 2001",23,R,UCLA,#53 Pick In 2023 Draft,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1641740/jaylen-clark/
Rudy Gobert,27,C,7-1,258 lbs,"JUN 26, 1992",32,11,Cholet,Traded From UTA On 07/06/22,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/203497/rudy-gobert/
Julius Randle,30,F-C,6-9,250 lbs,"NOV 29, 1994",29,10,Kentucky,Traded From NYK On 10/02/24,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/203944/julius-randle/
Leonard Miller,33,F,6-10,220 lbs,"NOV 26, 2003",20,1,NBA G League Ignite,Draft Rights Traded From SAS On 06/23/23,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1631159/leonard-miller/
PJ Dozier,35,G-F,6-6,205 lbs,"OCT 25, 1996",28,6,South Carolina,Signed On 07/15/24,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1628408/pj-dozier/
Luka Garza,55,C,6-10,243 lbs,"DEC 27, 1998",25,3,Iowa,Signed On 08/22/22,MINNESOTA TIMBERWOLVES,https://www.nba.com/player/1630568/luka-garza/
Shai Gilgeous-Alexander,2,G,6-6,195 lbs,"JUL 12, 1998",26,6,Kentucky,Traded From LAC On 07/10/19,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1628983/shai-gilgeous-alexander/
Dillon Jones,3,F,6-5,235 lbs,"OCT 29, 2001",23,R,Weber State,Draft Rights Traded From NYK On 06/27/24,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1641794/dillon-jones/
Luguentz Dort,5,G,6-4,220 lbs,"APR 19, 1999",25,5,Arizona State,Signed On 07/06/19,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1629652/luguentz-dort/
Jaylin Williams,6,F,6-9,240 lbs,"JUN 29, 2002",22,2,Arkansas,#34 Pick In 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1631119/jaylin-williams/
Chet Holmgren,7,C-F,7-1,208 lbs,"MAY 01, 2002",22,1,Gonzaga,#2 Pick In 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1631096/chet-holmgren/
Jalen Williams,8,G-F,6-5,211 lbs,"APR 14, 2001",23,2,Santa Clara,#12 Pick In 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1631114/jalen-williams/
Alex Caruso,9,G,6-5,186 lbs,"FEB 28, 1994",30,7,Texas A&M,Traded From CHI On 06/21/24,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1627936/alex-caruso/
Isaiah Joe,11,G,6-3,165 lbs,"JUL 02, 1999",25,4,Arkansas,Signed On 10/16/22,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1630198/isaiah-joe/
Ousmane Dieng,13,F,6-9,185 lbs,"MAY 21, 2003",21,2,New Zealand Breakers,Draft Rights Traded From NYK On 06/23/22,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1631172/ousmane-dieng/
Adam Flagler,14,G,6-3,180 lbs,"DEC 01, 1999",24,1,Baylor,Signed On 10/19/23,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1641745/adam-flagler/
Branden Carlson,15,C,7-0,220 lbs,"JUN 14, 1999",25,R,Utah,Signed On 11/16/24,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1642382/branden-carlson/
Aaron Wiggins,21,G,6-5,190 lbs,"JAN 02, 1999",25,3,Maryland,#55 Pick In 2021 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1630598/aaron-wiggins/
Cason Wallace,22,G,6-3,195 lbs,"NOV 07, 2003",21,1,Kentucky,Draft Rights Traded From DAL On 07/06/23,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1641717/cason-wallace/
Ajay Mitchell,25,G,6-5,190 lbs,"JUN 25, 2002",22,R,California-Santa Barbara,Draft Rights Traded From NYK On 06/27/24,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1642349/ajay-mitchell/
Kenrich Williams,34,G-F,6-6,210 lbs,"DEC 02, 1994",29,6,TCU,Traded From NOP On 11/23/20,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1629026/kenrich-williams/
Nikola Topić,44,G,6-6,200 lbs,"AUG 10, 2005",19,R,Crvena Zvezda,#12 Pick In 2024 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1642260/nikola-topi%C4%87/
Isaiah Hartenstein,55,C-F,7-0,250 lbs,"MAY 05, 1998",26,6,Zalgiris,Signed On 07/06/24,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1628392/isaiah-hartenstein/
Alex Ducas,88,G,6-7,220 lbs,"DEC 11, 2000",23,R,Mount Saint Mary'S,Signed On 07/15/24,OKLAHOMA CITY THUNDER,https://www.nba.com/player/1642505/alex-ducas/
Scoot Henderson,00,G,6-3,206 lbs,"FEB 03, 2004",20,1,NBA G League Ignite,#3 Pick In 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1630703/scoot-henderson/
Anfernee Simons,1,G,6-3,200 lbs,"JUN 08, 1999",25,6,Edgewater HS (FL),#24 Pick In 2018 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1629014/anfernee-simons/
Deandre Ayton,2,C,7-0,252 lbs,"JUL 23, 1998",26,6,Arizona,Traded From PHX On 09/27/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1629028/deandre-ayton/
Matisse Thybulle,4,G-F,6-5,201 lbs,"MAR 04, 1997",27,5,Washington,Traded From PHI On 02/09/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1629680/matisse-thybulle/
Dalano Banton,5,F,6-8,203 lbs,"NOV 07, 1999",25,3,Nebraska,Traded From BOS On 02/08/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1630625/dalano-banton/
Deni Avdija,8,F,6-9,240 lbs,"JAN 03, 2001",23,4,Maccabi Tel Aviv,Traded From WAS On 07/06/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1630166/deni-avdija/
Jerami Grant,9,F,6-7,210 lbs,"MAR 12, 1994",30,10,Syracuse,Traded From DET On 07/06/22,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/203924/jerami-grant/
Justin Minaya,10,F,6-5,205 lbs,"MAR 26, 1999",25,2,Providence,Signed On 04/04/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1631303/justin-minaya/
Bryce McGowens,11,G,6-6,190 lbs,"NOV 08, 2002",22,2,Nebraska,Signed On 07/11/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1631121/bryce-mcgowens/
Shaedon Sharpe,17,G,6-5,208 lbs,"MAY 30, 2003",21,2,Kentucky,#7 Pick In 2022 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1631101/shaedon-sharpe/
Rayan Rupert,21,G-F,6-6,195 lbs,"MAY 31, 2004",20,1,New Zealand Breakers,#43 Pick In 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1641712/rayan-rupert/
Donovan Clingan,23,C,7-2,280 lbs,"FEB 23, 2004",20,R,Connecticut,#7 Pick In 2024 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1642270/donovan-clingan/
Kris Murray,24,F,6-8,216 lbs,"AUG 19, 2000",24,1,Iowa,#23 Pick In 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1631200/kris-murray/
Duop Reath,26,C,6-9,245 lbs,"JUN 26, 1996",28,1,Louisiana State,Signed On 10/02/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1641871/duop-reath/
Toumani Camara,33,F,6-7,229 lbs,"MAY 08, 2000",24,1,Dayton,Traded From PHX On 09/27/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1641739/toumani-camara/
Jabari Walker,34,F,6-7,237 lbs,"JUL 30, 2002",22,2,Colorado,#57 Pick In 2022 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1631133/jabari-walker/
Robert Williams III,35,C-F,6-9,249 lbs,"OCT 17, 1997",27,6,Texas A&M,Traded From BOS On 10/01/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1629057/robert-williams-iii/
Taze Moore,76,G,6-5,195 lbs,"JUN 29, 1998",26,1,Houston,Signed On 01/20/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/player/1631386/taze-moore/
Jordan Clarkson,00,G,6-3,194 lbs,"JUN 07, 1992",32,10,Missouri,Traded From CLE On 12/23/19,UTAH JAZZ,https://www.nba.com/player/203903/jordan-clarkson/
Taylor Hendricks,0,F,6-9,215 lbs,"NOV 22, 2003",20,1,Central Florida,#9 Pick In 2023 Draft,UTAH JAZZ,https://www.nba.com/player/1641707/taylor-hendricks/
Collin Sexton,2,G,6-3,190 lbs,"JAN 04, 1999",25,6,Alabama,Traded From CLE On 09/03/22,UTAH JAZZ,https://www.nba.com/player/1629012/collin-sexton/
Keyonte George,3,G,6-4,185 lbs,"NOV 08, 2003",21,1,Baylor,#16 Pick In 2023 Draft,UTAH JAZZ,https://www.nba.com/player/1641718/keyonte-george/
Cody Williams,5,F,6-7,190 lbs,"NOV 20, 2004",20,R,Colorado,#10 Pick In 2024 Draft,UTAH JAZZ,https://www.nba.com/player/1642262/cody-williams/
Patty Mills,8,G,6-2,180 lbs,"AUG 11, 1988",36,15,St. Mary'S,Signed On 09/05/24,UTAH JAZZ,https://www.nba.com/player/201988/patty-mills/
Jason Preston,10,G,6-3,181 lbs,"AUG 10, 1999",25,2,Ohio,Signed On 01/08/24,UTAH JAZZ,https://www.nba.com/player/1630554/jason-preston/
Isaiah Collier,13,G,6-3,210 lbs,"OCT 08, 2004",20,R,Southern California,#29 Pick In 2024 Draft,UTAH JAZZ,https://www.nba.com/player/1642268/isaiah-collier/
Drew Eubanks,15,F-C,6-10,245 lbs,"FEB 01, 1997",27,6,Oregon State,Signed On 08/10/24,UTAH JAZZ,https://www.nba.com/player/1629234/drew-eubanks/
Svi Mykhailiuk,19,G-F,6-7,205 lbs,"JUN 10, 1997",27,6,Kansas,Signed On 08/10/24,UTAH JAZZ,https://www.nba.com/player/1629004/svi-mykhailiuk/
John Collins,20,F-C,6-9,226 lbs,"SEP 23, 1997",27,7,Wake Forest,Traded From ATL On 07/07/23,UTAH JAZZ,https://www.nba.com/player/1628381/john-collins/
Kyle Filipowski,22,C,6-11,250 lbs,"NOV 07, 2003",21,R,Duke,#32 Pick In 2024 Draft,UTAH JAZZ,https://www.nba.com/player/1642271/kyle-filipowski/
Lauri Markkanen,23,F-C,7-0,240 lbs,"MAY 22, 1997",27,7,Arizona,Traded From CLE On 09/03/22,UTAH JAZZ,https://www.nba.com/player/1628374/lauri-markkanen/
Walker Kessler,24,C,7-0,245 lbs,"JUL 26, 2001",23,2,Auburn,Draft Rights Traded From MIN On 07/06/22,UTAH JAZZ,https://www.nba.com/player/1631117/walker-kessler/
Micah Potter,25,C,6-9,248 lbs,"APR 06, 1998",26,3,Wisconsin,Signed On 10/12/22,UTAH JAZZ,https://www.nba.com/player/1630695/micah-potter/
Brice Sensabaugh,28,F,6-5,235 lbs,"OCT 30, 2003",21,1,Ohio State,#28 Pick In 2023 Draft,UTAH JAZZ,https://www.nba.com/player/1641729/brice-sensabaugh/
Johnny Juzang,33,G,6-5,209 lbs,"MAR 17, 2001",23,2,UCLA,Signed On 07/15/22,UTAH JAZZ,https://www.nba.com/player/1630548/johnny-juzang/
Oscar Tshiebwe,34,F-C,6-8,255 lbs,"NOV 27, 1999",24,1,Kentucky,Signed On 08/12/24,UTAH JAZZ,https://www.nba.com/player/1631131/oscar-tshiebwe/
Gary Payton II,0,G,6-2,195 lbs,"DEC 01, 1992",31,8,Oregon State,Traded From POR On 02/09/23,GOLDEN STATE WARRIORS,https://www.nba.com/player/1627780/gary-payton-ii/
Jonathan Kuminga,00,F,6-7,225 lbs,"OCT 06, 2002",22,3,NBA G League Ignite,#7 Pick In 2021 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/1630228/jonathan-kuminga/
Kyle Anderson,1,F-G,6-9,230 lbs,"SEP 20, 1993",31,10,UCLA,Traded From MIN On 07/06/24,GOLDEN STATE WARRIORS,https://www.nba.com/player/203937/kyle-anderson/
Brandin Podziemski,2,G,6-4,205 lbs,"FEB 25, 2003",21,1,Santa Clara,#19 Pick In 2023 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/1641764/brandin-podziemski/
Reece Beekman,3,G,6-3,190 lbs,"OCT 08, 2001",23,R,Virginia,Signed On 07/03/24,GOLDEN STATE WARRIORS,https://www.nba.com/player/1641736/reece-beekman/
Moses Moody,4,G,6-5,211 lbs,"MAY 31, 2002",22,3,Arkansas,#14 Pick In 2021 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/1630541/moses-moody/
Kevon Looney,5,F,6-9,222 lbs,"FEB 06, 1996",28,9,UCLA,#30 Pick In 2015 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/1626172/kevon-looney/
Buddy Hield,7,G,6-4,220 lbs,"DEC 17, 1992",31,8,Oklahoma,Traded From PHI On 07/06/24,GOLDEN STATE WARRIORS,https://www.nba.com/player/1627741/buddy-hield/
De'Anthony Melton,8,G,6-3,200 lbs,"MAY 28, 1998",26,6,Southern California,Signed On 07/08/24,GOLDEN STATE WARRIORS,https://www.nba.com/player/1629001/deanthony-melton/
Gui Santos,15,F,6-6,185 lbs,"JUN 22, 2002",22,1,Minas,#55 Pick In 2022 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/1630611/gui-santos/
Quinten Post,21,C,7-0,238 lbs,"MAR 21, 2000",24,R,Boston College,Draft Rights Traded From POR On 07/06/24,GOLDEN STATE WARRIORS,https://www.nba.com/player/1642366/quinten-post/
Andrew Wiggins,22,F,6-7,197 lbs,"FEB 23, 1995",29,10,Kansas,Traded From MIN On 02/06/20,GOLDEN STATE WARRIORS,https://www.nba.com/player/203952/andrew-wiggins/
Draymond Green,23,F,6-6,230 lbs,"MAR 04, 1990",34,12,Michigan State,#35 Pick In 2012 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/203110/draymond-green/
Stephen Curry,30,G,6-2,185 lbs,"MAR 14, 1988",36,15,Davidson,#7 Pick In 2009 Draft,GOLDEN STATE WARRIORS,https://www.nba.com/player/201939/stephen-curry/
Trayce Jackson-Davis,32,F,6-9,245 lbs,"FEB 22, 2000",24,1,Indiana,Draft Rights Traded From WAS On 06/23/23,GOLDEN STATE WARRIORS,https://www.nba.com/player/1631218/trayce-jackson-davis/
Lindy Waters III,43,F,6-6,210 lbs,"JUL 28, 1997",27,3,Oklahoma State,Traded From OKC On 06/27/24,GOLDEN STATE WARRIORS,https://www.nba.com/player/1630322/lindy-waters-iii/
Pat Spencer,61,G,6-3,205 lbs,"JUL 04, 1996",28,1,Northwestern,Signed On 07/23/22,GOLDEN STATE WARRIORS,https://www.nba.com/player/1630311/pat-spencer/
James Harden,1,G,6-5,220 lbs,"AUG 26, 1989",35,15,Arizona State,Traded From PHI On 11/01/23,LA CLIPPERS,https://www.nba.com/player/201935/james-harden/
Kawhi Leonard,2,F,6-7,225 lbs,"JUN 29, 1991",33,12,San Diego State,Signed On 07/09/19,LA CLIPPERS,https://www.nba.com/player/202695/kawhi-leonard/
Mo Bamba,4,C,7-0,231 lbs,"MAY 12, 1998",26,6,Texas,Signed On 07/03/24,LA CLIPPERS,https://www.nba.com/player/1628964/mo-bamba/
Bones Hyland,5,G,6-2,169 lbs,"SEP 14, 2000",24,3,Virginia Commonwealth,Traded From DEN On 02/09/23,LA CLIPPERS,https://www.nba.com/player/1630538/bones-hyland/
Amir Coffey,7,G-F,6-7,210 lbs,"JUN 17, 1997",27,5,Minnesota,Signed On 07/09/19,LA CLIPPERS,https://www.nba.com/player/1629599/amir-coffey/
Kris Dunn,8,G,6-3,205 lbs,"MAR 18, 1994",30,8,Providence,Traded From UTA On 07/18/24,LA CLIPPERS,https://www.nba.com/player/1627739/kris-dunn/
Trentyn Flowers,9,F,6-9,185 lbs,"MAR 08, 2005",19,R,Adelaide,Signed On 07/24/24,LA CLIPPERS,https://www.nba.com/player/1642280/trentyn-flowers/
Jordan Miller,11,G,6-5,194 lbs,"JAN 23, 2000",24,1,Miami,#48 Pick In 2023 Draft,LA CLIPPERS,https://www.nba.com/player/1641757/jordan-miller/
Cam Christie,12,G,6-6,190 lbs,"JUL 24, 2005",19,R,Minnesota,#46 Pick In 2024 Draft,LA CLIPPERS,https://www.nba.com/player/1642353/cam-christie/
Terance Mann,14,G-F,6-5,215 lbs,"OCT 18, 1996",28,5,Florida State,#48 Pick In 2019 Draft,LA CLIPPERS,https://www.nba.com/player/1629611/terance-mann/
P.J. Tucker,17,F,6-5,245 lbs,"MAY 05, 1985",39,13,Texas,Traded From PHI On 11/01/23,LA CLIPPERS,https://www.nba.com/player/200782/pj-tucker/
Kobe Brown,21,F,6-7,250 lbs,"JAN 01, 2000",24,1,Missouri,#30 Pick In 2023 Draft,LA CLIPPERS,https://www.nba.com/player/1641738/kobe-brown/
Kai Jones,23,C-F,6-11,221 lbs,"JAN 19, 2001",23,2,Texas,Signed On 04/14/24,LA CLIPPERS,https://www.nba.com/player/1630539/kai-jones/
Norman Powell,24,G,6-4,215 lbs,"MAY 25, 1993",31,9,UCLA,Traded From POR On 02/04/22,LA CLIPPERS,https://www.nba.com/player/1626181/norman-powell/
Nicolas Batum,33,G-F,6-8,230 lbs,"DEC 14, 1988",35,16,Le Mans,Signed On 07/09/24,LA CLIPPERS,https://www.nba.com/player/201587/nicolas-batum/
Ivica Zubac,40,C,7-0,240 lbs,"MAR 18, 1997",27,8,Mega Basket,Traded From LAL On 02/07/19,LA CLIPPERS,https://www.nba.com/player/1627826/ivica-zubac/
Derrick Jones Jr.,55,F,6-6,210 lbs,"FEB 15, 1997",27,8,UNLV,Signed On 07/09/24,LA CLIPPERS,https://www.nba.com/player/1627884/derrick-jones-jr/
Kevin Porter Jr.,77,G-F,6-4,203 lbs,"MAY 04, 2000",24,4,Southern California,Signed On 07/10/24,LA CLIPPERS,https://www.nba.com/player/1629645/kevin-porter-jr/
Jalen Hood-Schifino,0,G,6-5,215 lbs,"JUN 19, 2003",21,1,Indiana,#17 Pick In 2023 Draft,LOS ANGELES LAKERS,https://www.nba.com/player/1641720/jalen-hood-schifino/
D'Angelo Russell,1,G,6-3,193 lbs,"FEB 23, 1996",28,9,Ohio State,Traded From MIN On 02/09/23,LOS ANGELES LAKERS,https://www.nba.com/player/1626156/dangelo-russell/
Jarred Vanderbilt,2,F,6-8,214 lbs,"APR 03, 1999",25,6,Kentucky,Traded From UTA On 02/09/23,LOS ANGELES LAKERS,https://www.nba.com/player/1629020/jarred-vanderbilt/
Anthony Davis,3,F-C,6-10,253 lbs,"MAR 11, 1993",31,12,Kentucky,Traded From NOP On 07/06/19,LOS ANGELES LAKERS,https://www.nba.com/player/203076/anthony-davis/
Dalton Knecht,4,F,6-6,215 lbs,"APR 19, 2001",23,R,Tennessee,#17 Pick In 2024 Draft,LOS ANGELES LAKERS,https://www.nba.com/player/1642261/dalton-knecht/
Cam Reddish,5,F-G,6-7,217 lbs,"SEP 01, 1999",25,5,Duke,Signed On 07/06/23,LOS ANGELES LAKERS,https://www.nba.com/player/1629629/cam-reddish/
Gabe Vincent,7,G,6-2,200 lbs,"JUN 14, 1996",28,5,California-Santa Barbara,Signed On 07/06/23,LOS ANGELES LAKERS,https://www.nba.com/player/1629216/gabe-vincent/
