Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link
Bronny James,9,G,6-2,210 lbs,"OCT 06, 2004",20,R,Southern California,#55 Pick In 2024 Draft,LOS ANGELES LAKERS,https://www.nba.com/player/1642355/bronny-james/
Christian Koloko,10,C,7-0,230 lbs,"JUN 20, 2000",24,1,Arizona,Signed On 09/16/24,LOS ANGELES LAKERS,https://www.nba.com/player/1631132/christian-koloko/
Jaxson Hayes,11,C-F,7-0,220 lbs,"MAY 23, 2000",24,5,Texas,Signed On 07/06/23,LOS ANGELES LAKERS,https://www.nba.com/player/1629637/jaxson-hayes/
Max Christie,12,G,6-5,190 lbs,"FEB 10, 2003",21,2,Michigan State,#35 Pick In 2022 Draft,LOS ANGELES LAKERS,https://www.nba.com/player/1631108/max-christie/
Austin Reaves,15,G,6-5,197 lbs,"MAY 29, 1998",26,3,Oklahoma,Signed On 08/03/21,LOS ANGELES LAKERS,https://www.nba.com/player/1630559/austin-reaves/
Maxwell Lewis,20,F,6-7,195 lbs,"JUL 27, 2002",22,1,Pepperdine,Draft Rights Traded From DEN On 06/23/23,LOS ANGELES LAKERS,https://www.nba.com/player/1641721/maxwell-lewis/
LeBron James,23,F,6-9,250 lbs,"DEC 30, 1984",39,21,St. Vincent-St. Mary HS (OH),Signed On 07/09/18,LOS ANGELES LAKERS,https://www.nba.com/player/2544/lebron-james/
Rui Hachimura,28,F,6-8,230 lbs,"FEB 08, 1998",26,5,Gonzaga,Traded From WAS On 01/23/23,LOS ANGELES LAKERS,https://www.nba.com/player/1629060/rui-hachimura/
Christian Wood,35,F,6-8,214 lbs,"SEP 27, 1995",29,8,UNLV,Signed On 09/06/23,LOS ANGELES LAKERS,https://www.nba.com/player/1626174/christian-wood/
Quincy Olivari,41,G,6-3,lbs,"MAY 27, 2001",23,R,Xavier,Signed On 08/13/24,LOS ANGELES LAKERS,https://www.nba.com/player/1642439/quincy-olivari/
Armel Traore,94,F,6-8,215 lbs,"JAN 23, 2003",21,R,ADA Blois,Signed On 07/03/24,LOS ANGELES LAKERS,https://www.nba.com/player/1642422/armel-traore/
Royce O'Neale,00,F,6-6,226 lbs,"JUN 05, 1993",31,7,Baylor,Traded From BKN On 02/08/24,PHOENIX SUNS,https://www.nba.com/player/1626220/royce-oneale/
Ryan Dunn,0,F,6-8,216 lbs,"JAN 07, 2003",21,R,Virginia,Draft Rights Traded From DEN On 06/26/24,PHOENIX SUNS,https://www.nba.com/player/1642346/ryan-dunn/
Devin Booker,1,G,6-6,206 lbs,"OCT 30, 1996",28,9,Kentucky,#13 Pick In 2015 Draft,PHOENIX SUNS,https://www.nba.com/player/1626164/devin-booker/
Josh Okogie,2,G,6-4,213 lbs,"SEP 01, 1998",26,6,Georgia Tech,Signed On 07/02/22,PHOENIX SUNS,https://www.nba.com/player/1629006/josh-okogie/
Bradley Beal,3,G,6-4,207 lbs,"JUN 28, 1993",31,12,Florida,Traded From WAS On 06/23/23,PHOENIX SUNS,https://www.nba.com/player/203078/bradley-beal/
Oso Ighodaro,4,F,7-0,235 lbs,"JUL 14, 2002",22,R,Marquette,Draft Rights Traded From NYK On 06/27/24,PHOENIX SUNS,https://www.nba.com/player/1642345/oso-ighodaro/
Grayson Allen,8,G,6-4,198 lbs,"OCT 08, 1995",29,6,Duke,Traded From MIL On 09/27/23,PHOENIX SUNS,https://www.nba.com/player/1628960/grayson-allen/
Damion Lee,10,G-F,6-6,210 lbs,"OCT 21, 1992",32,6,Drexel,Signed On 07/01/22,PHOENIX SUNS,https://www.nba.com/player/1627814/damion-lee/
Bol Bol,11,C-F,7-3,220 lbs,"NOV 16, 1999",25,5,Oregon,Signed On 07/18/23,PHOENIX SUNS,https://www.nba.com/player/1629626/bol-bol/
Collin Gillespie,12,G,6-1,195 lbs,"JUN 25, 1999",25,1,Villanova,Signed On 07/02/24,PHOENIX SUNS,https://www.nba.com/player/1631221/collin-gillespie/
TyTy Washington Jr.,14,G,6-3,195 lbs,"NOV 15, 2001",23,2,Kentucky,Signed On 08/02/24,PHOENIX SUNS,https://www.nba.com/player/1631102/tyty-washington-jr/
Jalen Bridges,15,F,6-8,225 lbs,"MAY 14, 2001",23,R,Baylor,Signed On 07/02/24,PHOENIX SUNS,https://www.nba.com/player/1641779/jalen-bridges/
Jusuf Nurkić,20,C,7-0,290 lbs,"AUG 23, 1994",30,10,Cedevita,Traded From POR On 09/27/23,PHOENIX SUNS,https://www.nba.com/player/203994/jusuf-nurki%C4%87/
Tyus Jones,21,G,6-1,196 lbs,"MAY 10, 1996",28,9,Duke,Signed On 07/29/24,PHOENIX SUNS,https://www.nba.com/player/1626145/tyus-jones/
Mason Plumlee,22,F-C,6-10,254 lbs,"MAR 05, 1990",34,11,Duke,Signed On 07/03/24,PHOENIX SUNS,https://www.nba.com/player/203486/mason-plumlee/
Monté Morris,23,G,6-2,183 lbs,"JUN 27, 1995",29,7,Iowa State,Signed On 07/03/24,PHOENIX SUNS,https://www.nba.com/player/1628420/mont%C3%A9-morris/
Kevin Durant,35,F,6-11,240 lbs,"SEP 29, 1988",36,16,Texas,Traded From BKN On 02/09/23,PHOENIX SUNS,https://www.nba.com/player/201142/kevin-durant/
Malik Monk,0,G,6-3,200 lbs,"FEB 04, 1998",26,7,Kentucky,Signed On 07/06/22,SACRAMENTO KINGS,https://www.nba.com/player/1628370/malik-monk/
Jordan McLaughlin,3,G,6-0,185 lbs,"APR 09, 1996",28,5,Southern California,Signed On 07/09/24,SACRAMENTO KINGS,https://www.nba.com/player/1629162/jordan-mclaughlin/
De'Aaron Fox,5,G,6-3,185 lbs,"DEC 20, 1997",26,7,Kentucky,#5 Pick In 2017 Draft,SACRAMENTO KINGS,https://www.nba.com/player/1628368/deaaron-fox/
Doug McDermott,7,F,6-6,225 lbs,"JAN 03, 1992",32,10,Creighton,Signed On 10/16/24,SACRAMENTO KINGS,https://www.nba.com/player/203926/doug-mcdermott/
Mason Jones,8,G,6-4,200 lbs,"JUL 21, 1998",26,3,Arkansas,Signed On 02/09/24,SACRAMENTO KINGS,https://www.nba.com/player/1630222/mason-jones/
Kevin Huerter,9,G-F,6-7,198 lbs,"AUG 27, 1998",26,6,Maryland,Traded From ATL On 07/06/22,SACRAMENTO KINGS,https://www.nba.com/player/1628989/kevin-huerter/
DeMar DeRozan,10,G-F,6-6,220 lbs,"AUG 07, 1989",35,15,Southern California,Traded From CHI On 07/08/24,SACRAMENTO KINGS,https://www.nba.com/player/201942/demar-derozan/
Domantas Sabonis,11,F-C,6-10,240 lbs,"MAY 03, 1996",28,8,Gonzaga,Traded From IND On 02/08/22,SACRAMENTO KINGS,https://www.nba.com/player/1627734/domantas-sabonis/
Keegan Murray,13,F,6-8,225 lbs,"AUG 19, 2000",24,2,Iowa,#4 Pick In 2022 Draft,SACRAMENTO KINGS,https://www.nba.com/player/1631099/keegan-murray/
Isaac Jones,17,F,6-9,245 lbs,"JUL 11, 2000",24,R,Washington State,Signed On 07/03/24,SACRAMENTO KINGS,https://www.nba.com/player/1642403/isaac-jones/
Colby Jones,20,G,6-6,207 lbs,"MAY 28, 2002",22,1,Xavier,Draft Rights Traded From BOS On 06/28/23,SACRAMENTO KINGS,https://www.nba.com/player/1641732/colby-jones/
Devin Carter,22,G,6-2,195 lbs,"MAR 18, 2002",22,R,Providence,#13 Pick In 2024 Draft,SACRAMENTO KINGS,https://www.nba.com/player/1642269/devin-carter/
Keon Ellis,23,G,6-4,175 lbs,"JAN 08, 2000",24,2,Alabama,Signed On 07/02/22,SACRAMENTO KINGS,https://www.nba.com/player/1631165/keon-ellis/
Isaiah Crawford,24,F,6-6,220 lbs,"NOV 01, 2001",23,R,Louisiana Tech,Signed On 07/02/24,SACRAMENTO KINGS,https://www.nba.com/player/1642384/isaiah-crawford/
Alex Len,25,C,7-0,250 lbs,"JUN 16, 1993",31,11,Maryland,Signed On 08/13/21,SACRAMENTO KINGS,https://www.nba.com/player/203458/alex-len/
Trey Lyles,41,F,6-9,234 lbs,"NOV 05, 1995",29,9,Kentucky,Traded From DET On 02/10/22,SACRAMENTO KINGS,https://www.nba.com/player/1626168/trey-lyles/
Orlando Robinson,77,C,6-10,235 lbs,"JUL 10, 2000",24,2,Fresno State,Signed On 08/07/24,SACRAMENTO KINGS,https://www.nba.com/player/1631115/orlando-robinson/
Danté Exum,0,G,6-5,214 lbs,"JUL 13, 1995",29,7,Australian Institute Of Sport,Signed On 07/14/23,DALLAS MAVERICKS,https://www.nba.com/player/203957/dant%C3%A9-exum/
Jazian Gortman,00,G,6-2,184 lbs,"MAR 14, 2003",21,R,Overtime Elite,Signed On 07/10/24,DALLAS MAVERICKS,https://www.nba.com/player/1641789/jazian-gortman/
Jaden Hardy,1,G,6-3,198 lbs,"JUL 05, 2002",22,2,NBA G League Ignite,Draft Rights Traded From SAC On 06/24/22,DALLAS MAVERICKS,https://www.nba.com/player/1630702/jaden-hardy/
Dereck Lively II,2,C,7-1,230 lbs,"FEB 12, 2004",20,1,Duke,Draft Rights Traded From OKC On 07/06/23,DALLAS MAVERICKS,https://www.nba.com/player/1641726/dereck-lively-ii/
Quentin Grimes,5,G,6-4,210 lbs,"MAY 08, 2000",24,3,Houston,Traded From DET On 07/06/24,DALLAS MAVERICKS,https://www.nba.com/player/1629656/quentin-grimes/
Dwight Powell,7,F-C,6-10,240 lbs,"JUL 20, 1991",33,10,Stanford,Traded From BOS On 12/18/14,DALLAS MAVERICKS,https://www.nba.com/player/203939/dwight-powell/
Olivier-Maxence Prosper,8,F,6-7,230 lbs,"JUL 03, 2002",22,1,Marquette,Draft Rights Traded From SAC On 07/06/23,DALLAS MAVERICKS,https://www.nba.com/player/1641765/olivier-maxence-prosper/
Brandon Williams,10,G,6-1,190 lbs,"NOV 22, 1999",24,2,Arizona,Signed On 12/28/23,DALLAS MAVERICKS,https://www.nba.com/player/1630314/brandon-williams/
Kyrie Irving,11,G,6-2,195 lbs,"MAR 23, 1992",32,13,Duke,Traded From BKN On 02/06/23,DALLAS MAVERICKS,https://www.nba.com/player/202681/kyrie-irving/
Naji Marshall,13,F,6-6,220 lbs,"JAN 24, 1998",26,4,Xavier,Signed On 07/06/24,DALLAS MAVERICKS,https://www.nba.com/player/1630230/naji-marshall/
Kessler Edwards,20,F,6-7,203 lbs,"AUG 09, 2000",24,3,Pepperdine,Signed On 08/07/24,DALLAS MAVERICKS,https://www.nba.com/player/1630556/kessler-edwards/
Daniel Gafford,21,F-C,6-10,265 lbs,"OCT 01, 1998",26,5,Arkansas,Traded From WAS On 02/08/24,DALLAS MAVERICKS,https://www.nba.com/player/1629655/daniel-gafford/
P.J. Washington,25,F,6-6,230 lbs,"AUG 23, 1998",26,5,Kentucky,Traded From CHA On 02/08/24,DALLAS MAVERICKS,https://www.nba.com/player/1629023/pj-washington/
Spencer Dinwiddie,26,G,6-5,215 lbs,"APR 06, 1993",31,10,Colorado,Signed On 08/02/24,DALLAS MAVERICKS,https://www.nba.com/player/203915/spencer-dinwiddie/
Klay Thompson,31,G,6-5,220 lbs,"FEB 08, 1990",34,11,Washington State,Traded From GSW On 07/06/24,DALLAS MAVERICKS,https://www.nba.com/player/202691/klay-thompson/
Maxi Kleber,42,F,6-10,240 lbs,"JAN 29, 1992",32,7,Bayern Munich,Signed On 07/12/17,DALLAS MAVERICKS,https://www.nba.com/player/1628467/maxi-kleber/
Luka Dončić,77,F-G,6-6,230 lbs,"FEB 28, 1999",25,6,Real Madrid,Draft Rights Traded From ATL On 06/21/18,DALLAS MAVERICKS,https://www.nba.com/player/1629029/luka-don%C4%8Di%C4%87/
Markieff Morris,88,F,6-9,245 lbs,"SEP 02, 1989",35,13,Kansas,Traded From BKN On 02/06/23,DALLAS MAVERICKS,https://www.nba.com/player/202693/markieff-morris/
Aaron Holiday,0,G,6-0,185 lbs,"SEP 30, 1996",28,6,UCLA,Signed On 07/10/23,HOUSTON ROCKETS,https://www.nba.com/player/1628988/aaron-holiday/
Amen Thompson,1,G-F,6-7,200 lbs,"JAN 30, 2003",21,1,Overtime Elite,#4 Pick In 2023 Draft,HOUSTON ROCKETS,https://www.nba.com/player/1641708/amen-thompson/
Jock Landale,2,C,6-11,255 lbs,"OCT 25, 1995",29,3,St. Mary'S,Signed On 07/06/23,HOUSTON ROCKETS,https://www.nba.com/player/1629111/jock-landale/
N'Faly Dante,3,C,6-11,230 lbs,"OCT 19, 2001",23,R,Oregon,Signed On 07/09/24,HOUSTON ROCKETS,https://www.nba.com/player/1642368/nfaly-dante/
Jalen Green,4,G,6-4,186 lbs,"FEB 09, 2002",22,3,NBA G League Ignite,#2 Pick In 2021 Draft,HOUSTON ROCKETS,https://www.nba.com/player/1630224/jalen-green/
Fred VanVleet,5,G,6-0,197 lbs,"FEB 25, 1994",30,8,Wichita State,Signed On 07/07/23,HOUSTON ROCKETS,https://www.nba.com/player/1627832/fred-vanvleet/
Cam Whitmore,7,F,6-7,230 lbs,"JUL 08, 2004",20,1,Villanova,#20 Pick In 2023 Draft,HOUSTON ROCKETS,https://www.nba.com/player/1641715/cam-whitmore/
Jae'Sean Tate,8,F,6-4,230 lbs,"OCT 28, 1995",29,4,Ohio State,Signed On 11/25/20,HOUSTON ROCKETS,https://www.nba.com/player/1630256/jaesean-tate/
Dillon Brooks,9,G-F,6-6,225 lbs,"JAN 22, 1996",28,7,Oregon,Traded From MEM On 07/08/23,HOUSTON ROCKETS,https://www.nba.com/player/1628415/dillon-brooks/
Jabari Smith Jr.,10,F,6-10,220 lbs,"MAY 13, 2003",21,2,Auburn,#3 Pick In 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/player/1631095/jabari-smith-jr/
Steven Adams,12,C,6-11,265 lbs,"JUL 20, 1993",31,10,Pittsburgh,Traded From MEM On 02/01/24,HOUSTON ROCKETS,https://www.nba.com/player/203500/steven-adams/
Reed Sheppard,15,G,6-2,185 lbs,"JUN 24, 2004",20,R,Kentucky,#3 Pick In 2024 Draft,HOUSTON ROCKETS,https://www.nba.com/player/1642263/reed-sheppard/
Tari Eason,17,F,6-8,215 lbs,"MAY 10, 2001",23,2,Louisiana State,#17 Pick In 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/player/1631106/tari-eason/
Nate Williams,19,G,6-5,205 lbs,"FEB 12, 1999",25,2,Buffalo,Signed On 08/01/23,HOUSTON ROCKETS,https://www.nba.com/player/1631466/nate-williams/
Alperen Sengun,28,C,6-11,243 lbs,"JUL 25, 2002",22,3,Besiktas,Draft Rights Traded From OKC On 07/30/21,HOUSTON ROCKETS,https://www.nba.com/player/1630578/alperen-sengun/
Jeff Green,32,F,6-8,235 lbs,"AUG 28, 1986",38,16,Georgetown,Signed On 07/06/23,HOUSTON ROCKETS,https://www.nba.com/player/201145/jeff-green/
Jack McVeigh,58,G-F,6-8,215 lbs,"JUN 27, 1996",28,R,Nebraska-Lincoln,Signed On 07/25/24,HOUSTON ROCKETS,https://www.nba.com/player/1629098/jack-mcveigh/
Jaylen Wells,0,F,6-8,lbs,"AUG 26, 2003",21,R,Washington State,#39 Pick In 2024 Draft,MEMPHIS GRIZZLIES,https://www.nba.com/player/1642377/jaylen-wells/
Scotty Pippen Jr.,1,G,6-1,170 lbs,"NOV 10, 2000",24,2,Vanderbilt,Signed On 01/16/24,MEMPHIS GRIZZLIES,https://www.nba.com/player/1630590/scotty-pippen-jr/
Jake LaRavia,3,F,6-7,235 lbs,"NOV 03, 2001",23,2,Wake Forest,Draft Rights Traded From MIN On 06/24/22,MEMPHIS GRIZZLIES,https://www.nba.com/player/1631222/jake-laravia/
Vince Williams Jr.,5,G,6-4,205 lbs,"AUG 30, 2000",24,2,Virginia Commonwealth,#47 Pick In 2022 Draft,MEMPHIS GRIZZLIES,https://www.nba.com/player/1631246/vince-williams-jr/
Santi Aldama,7,F-C,7-0,215 lbs,"JAN 10, 2001",23,3,Loyola-Maryland,Draft Rights Traded From UTA On 08/07/21,MEMPHIS GRIZZLIES,https://www.nba.com/player/1630583/santi-aldama/
Colin Castleton,8,C,6-10,250 lbs,"MAY 25, 2000",24,1,Florida,Signed On 10/30/24,MEMPHIS GRIZZLIES,https://www.nba.com/player/1630658/colin-castleton/
Luke Kennard,10,G,6-5,206 lbs,"JUN 24, 1996",28,7,Duke,Traded From LAC On 02/09/23,MEMPHIS GRIZZLIES,https://www.nba.com/player/1628379/luke-kennard/
Ja Morant,12,G,6-2,174 lbs,"AUG 10, 1999",25,5,Murray State,#2 Pick In 2019 Draft,MEMPHIS GRIZZLIES,https://www.nba.com/player/1629630/ja-morant/
Jaren Jackson Jr.,13,F-C,6-10,242 lbs,"SEP 15, 1999",25,6,Michigan State,#4 Pick In 2018 Draft,MEMPHIS GRIZZLIES,https://www.nba.com/player/1628991/jaren-jackson-jr/
Zach Edey,14,C,7-4,305 lbs,"MAY 14, 2002",22,R,Purdue,#9 Pick In 2024 Draft,MEMPHIS GRIZZLIES,https://www.nba.com/player/1641744/zach-edey/
Brandon Clarke,15,F,6-8,215 lbs,"SEP 19, 1996",28,5,Gonzaga,Draft Rights Traded From OKC On 07/06/19,MEMPHIS GRIZZLIES,https://www.nba.com/player/1629634/brandon-clarke/
Yuki Kawamura,17,G,5-8,159 lbs,"MAY 02, 2001",23,R,,Signed On 09/06/24,MEMPHIS GRIZZLIES,https://www.nba.com/player/1642530/yuki-kawamura/
Desmond Bane,22,G,6-5,215 lbs,"JUN 25, 1998",26,4,TCU,Draft Rights Traded From BOS On 11/20/20,MEMPHIS GRIZZLIES,https://www.nba.com/player/1630217/desmond-bane/
Cam Spencer,24,G,6-4,205 lbs,"APR 06, 2000",24,R,Connecticut,Draft Rights Traded From DET On 07/06/24,MEMPHIS GRIZZLIES,https://www.nba.com/player/1642285/cam-spencer/
Jay Huff,30,C,7-1,240 lbs,"AUG 25, 1997",27,3,Virginia,Signed On 07/24/24,MEMPHIS GRIZZLIES,https://www.nba.com/player/1630643/jay-huff/
Marcus Smart,36,G,6-3,220 lbs,"MAR 06, 1994",30,10,Oklahoma State,Traded From BOS On 06/23/23,MEMPHIS GRIZZLIES,https://www.nba.com/player/203935/marcus-smart/
GG Jackson,45,F,6-9,210 lbs,"DEC 17, 2004",19,1,South Carolina,#45 Pick In 2023 Draft,MEMPHIS GRIZZLIES,https://www.nba.com/player/1641713/gg-jackson/
John Konchar,46,G,6-5,210 lbs,"MAR 22, 1996",28,5,Indiana-Purdue Fort Wayne,Signed On 07/07/19,MEMPHIS GRIZZLIES,https://www.nba.com/player/1629723/john-konchar/
Zion Williamson,1,F,6-6,284 lbs,"JUL 06, 2000",24,4,Duke,#1 Pick In 2019 Draft,NEW ORLEANS PELICANS,https://www.nba.com/player/1629627/zion-williamson/
Herbert Jones,2,F,6-7,206 lbs,"OCT 06, 1998",26,3,Alabama,#35 Pick In 2021 Draft,NEW ORLEANS PELICANS,https://www.nba.com/player/1630529/herbert-jones/
Elfrid Payton,2,G,6-3,195 lbs,"FEB 22, 1994",30,8,Louisana-Lafayette,Signed On 10/10/24,NEW ORLEANS PELICANS,https://www.nba.com/player/203901/elfrid-payton/
CJ McCollum,3,G,6-3,190 lbs,"SEP 19, 1991",33,11,Lehigh,Traded From POR On 02/08/22,NEW ORLEANS PELICANS,https://www.nba.com/player/203468/cj-mccollum/
Javonte Green,4,G,6-5,205 lbs,"JUL 23, 1993",31,5,Radford,Signed On 08/22/24,NEW ORLEANS PELICANS,https://www.nba.com/player/1629750/javonte-green/
Dejounte Murray,5,G,6-4,180 lbs,"SEP 19, 1996",28,7,Washington,Traded From ATL On 07/06/24,NEW ORLEANS PELICANS,https://www.nba.com/player/1627749/dejounte-murray/
Jamal Cain,8,F,6-6,191 lbs,"MAR 20, 1999",25,2,Oakland,Signed On 07/12/24,NEW ORLEANS PELICANS,https://www.nba.com/player/1631288/jamal-cain/
Daniel Theis,10,F-C,6-8,245 lbs,"APR 04, 1992",32,7,Brose Bamberg,Signed On 07/09/24,NEW ORLEANS PELICANS,https://www.nba.com/player/1628464/daniel-theis/
Brandon Boston Jr.,11,G,6-6,188 lbs,"NOV 28, 2001",22,3,Kentucky,Awarded On Waivers On 10/21/24,NEW ORLEANS PELICANS,https://www.nba.com/player/1630527/brandon-boston-jr/
Antonio Reeves,12,G,6-5,205 lbs,"NOV 20, 2002",22,R,Kentucky,Draft Rights Traded From ORL On 06/27/24,NEW ORLEANS PELICANS,https://www.nba.com/player/1641810/antonio-reeves/
Brandon Ingram,14,F,6-8,190 lbs,"SEP 02, 1997",27,8,Duke,Traded From LAL On 07/06/19,NEW ORLEANS PELICANS,https://www.nba.com/player/1627742/brandon-ingram/
Jose Alvarado,15,G,6-0,179 lbs,"APR 12, 1998",26,3,Georgia Tech,Signed On 08/18/21,NEW ORLEANS PELICANS,https://www.nba.com/player/1630631/jose-alvarado/
Karlo Matković,17,F-C,6-10,231 lbs,"MAR 30, 2001",23,R,Mega Basket,#52 Pick In 2022 Draft,NEW ORLEANS PELICANS,https://www.nba.com/player/1631255/karlo-matkovi%C4%87/
Yves Missi,21,C,6-11,235 lbs,"MAY 14, 2004",20,R,Baylor,#21 Pick In 2024 Draft,NEW ORLEANS PELICANS,https://www.nba.com/player/1642274/yves-missi/
Jordan Hawkins,24,G,6-5,190 lbs,"APR 29, 2002",22,1,Connecticut,#14 Pick In 2023 Draft,NEW ORLEANS PELICANS,https://www.nba.com/player/1641722/jordan-hawkins/
Trey Murphy III,25,F,6-8,206 lbs,"JUN 18, 2000",24,3,Virginia,Draft Rights Traded From MEM On 08/07/21,NEW ORLEANS PELICANS,https://www.nba.com/player/1630530/trey-murphy-iii/
Jeremiah Robinson-Earl,50,F,6-8,240 lbs,"NOV 03, 2000",24,3,Villanova,Signed On 11/03/23,NEW ORLEANS PELICANS,https://www.nba.com/player/1630526/jeremiah-robinson-earl/
Trey Jemison III,55,C,6-10,260 lbs,"NOV 28, 1999",24,1,Alabama-Birmingham,,NEW ORLEANS PELICANS,https://www.nba.com/player/1641998/trey-jemison-iii/
Keldon Johnson,0,F-G,6-5,220 lbs,"OCT 11, 1999",25,5,Kentucky,#29 Pick In 2019 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1629640/keldon-johnson/
Victor Wembanyama,1,F-C,7-3,235 lbs,"JAN 04, 2004",20,1,Metropolitans 92,#1 Pick In 2023 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1641705/victor-wembanyama/
Chris Paul,3,G,6-0,175 lbs,"MAY 06, 1985",39,19,Wake Forest,Signed On 07/07/24,SAN ANTONIO SPURS,https://www.nba.com/player/101108/chris-paul/
Stephon Castle,5,G,6-6,215 lbs,"NOV 01, 2004",20,R,Connecticut,#4 Pick In 2024 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1642264/stephon-castle/
David Duke Jr.,7,G,6-4,204 lbs,"OCT 13, 1999",25,3,Providence,Signed On 12/14/23,SAN ANTONIO SPURS,https://www.nba.com/player/1630561/david-duke-jr/
Jeremy Sochan,10,F,6-8,230 lbs,"MAY 20, 2003",21,2,Baylor,#9 Pick In 2022 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1631110/jeremy-sochan/
Blake Wesley,14,G,6-3,185 lbs,"MAR 16, 2003",21,2,Notre Dame,#25 Pick In 2022 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1631104/blake-wesley/
Malaki Branham,22,F,6-4,180 lbs,"MAY 12, 2003",21,2,Ohio State,#20 Pick In 2022 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1631103/malaki-branham/
Zach Collins,23,F-C,6-11,250 lbs,"NOV 19, 1997",27,6,Gonzaga,Signed On 08/11/21,SAN ANTONIO SPURS,https://www.nba.com/player/1628380/zach-collins/
Devin Vassell,24,G-F,6-5,200 lbs,"AUG 23, 2000",24,4,Florida State,#11 Pick In 2020 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1630170/devin-vassell/
Sidy Cissoko,25,G,6-6,200 lbs,"APR 02, 2004",20,1,NBA G League Ignite,#44 Pick In 2023 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1631321/sidy-cissoko/
Riley Minix,27,F,6-7,230 lbs,"SEP 22, 2000",24,R,Morehead State,Signed On 07/20/24,SAN ANTONIO SPURS,https://www.nba.com/player/1642434/riley-minix/
Charles Bassey,28,C-F,6-10,230 lbs,"OCT 28, 2000",24,3,Western Kentucky,Signed On 10/24/22,SAN ANTONIO SPURS,https://www.nba.com/player/1629646/charles-bassey/
Julian Champagnie,30,F,6-7,217 lbs,"JUN 29, 2001",23,2,St. John'S,,SAN ANTONIO SPURS,https://www.nba.com/player/1630577/julian-champagnie/
Tre Jones,33,G,6-1,185 lbs,"JAN 08, 2000",24,4,Duke,#41 Pick In 2020 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1630200/tre-jones/
Harrison Barnes,40,F,6-8,225 lbs,"MAY 30, 1992",32,12,North Carolina,Traded From SAC On 07/08/24,SAN ANTONIO SPURS,https://www.nba.com/player/203084/harrison-barnes/
Sandro Mamukelashvili,54,F-C,6-9,240 lbs,"MAY 23, 1999",25,3,Seton Hall,,SAN ANTONIO SPURS,https://www.nba.com/player/1630572/sandro-mamukelashvili/
Harrison Ingram,55,F,6-5,230 lbs,"NOV 27, 2002",21,R,North Carolina,#48 Pick In 2024 Draft,SAN ANTONIO SPURS,https://www.nba.com/player/1631127/harrison-ingram/
