Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Orlando Magic,57,25,0.695,0.0,110.9,103.8,6.44,1995
New York Knicks,55,27,0.671,2.0,98.2,95.1,2.78,1995
Boston Celtics,35,47,0.427,22.0,102.8,104.7,-1.92,1995
Miami Heat,32,50,0.39,25.0,101.1,102.8,-1.85,1995
New Jersey Nets,30,52,0.366,27.0,98.1,101.2,-3.28,1995
Philadelphia 76ers,24,58,0.293,33.0,95.4,100.4,-5.06,1995
Washington Bullets,21,61,0.256,36.0,100.5,106.1,-5.56,1995
Indiana Pacers,52,30,0.634,0.0,99.2,95.5,3.35,1995
Charlotte Hornets,50,32,0.61,2.0,100.6,97.3,2.87,1995
Chicago Bulls,47,35,0.573,5.0,101.5,96.7,4.32,1995
Cleveland Cavaliers,43,39,0.524,9.0,90.5,89.8,0.55,1995
Atlanta Hawks,42,40,0.512,10.0,96.6,95.3,1.06,1995
Milwaukee Bucks,34,48,0.415,18.0,99.3,103.7,-4.3,1995
Detroit Pistons,28,54,0.341,24.0,98.2,105.5,-7.08,1995
Orlando Magic,60,22,0.732,0.0,104.5,99.0,5.4,1996
New York Knicks,47,35,0.573,13.0,97.2,94.9,2.24,1996
Miami Heat,42,40,0.512,18.0,96.5,95.0,1.46,1996
Washington Bullets,39,43,0.476,21.0,102.5,101.5,0.99,1996
Boston Celtics,33,49,0.402,27.0,103.6,107.0,-3.37,1996
New Jersey Nets,30,52,0.366,30.0,93.7,97.9,-4.14,1996
Philadelphia 76ers,18,64,0.22,42.0,94.5,104.5,-9.45,1996
Chicago Bulls,72,10,0.878,0.0,105.2,92.9,11.8,1996
Indiana Pacers,52,30,0.634,20.0,99.3,96.1,3.11,1996
Cleveland Cavaliers,47,35,0.573,25.0,91.1,88.5,2.49,1996
Atlanta Hawks,46,36,0.561,26.0,98.3,97.1,1.29,1996
Detroit Pistons,46,36,0.561,26.0,95.4,92.9,2.45,1996
Charlotte Hornets,41,41,0.5,31.0,102.8,103.4,-0.48,1996
Milwaukee Bucks,25,57,0.305,47.0,95.6,100.9,-4.92,1996
Toronto Raptors,21,61,0.256,51.0,97.5,105.0,-7.2,1996
Miami Heat,61,21,0.744,0.0,94.8,89.3,5.56,1997
New York Knicks,57,25,0.695,4.0,95.4,92.2,3.31,1997
Orlando Magic,45,37,0.549,16.0,94.1,94.5,-0.07,1997
Washington Bullets,44,38,0.537,17.0,99.4,97.7,1.77,1997
New Jersey Nets,26,56,0.317,35.0,97.2,101.8,-3.89,1997
Philadelphia 76ers,22,60,0.268,39.0,100.2,106.7,-5.89,1997
Boston Celtics,15,67,0.183,46.0,100.6,107.9,-6.62,1997
Chicago Bulls,69,13,0.841,0.0,103.1,92.3,10.7,1997
Atlanta Hawks,56,26,0.683,13.0,94.8,89.4,5.52,1997
Detroit Pistons,54,28,0.659,15.0,94.2,88.9,5.45,1997
Charlotte Hornets,54,28,0.659,15.0,98.9,97.0,2.13,1997
Cleveland Cavaliers,42,40,0.512,27.0,87.5,85.6,2.32,1997
Indiana Pacers,39,43,0.476,30.0,95.4,94.4,1.49,1997
Milwaukee Bucks,33,49,0.402,36.0,95.3,97.2,-1.38,1997
Toronto Raptors,30,52,0.366,39.0,95.5,98.6,-2.56,1997
Miami Heat,55,27,0.671,0.0,95.0,90.0,5.09,1998
New York Knicks,43,39,0.524,12.0,91.6,89.1,2.74,1998
New Jersey Nets,43,39,0.524,12.0,99.6,98.1,1.88,1998
Washington Wizards,42,40,0.512,13.0,97.2,96.6,1.11,1998
Orlando Magic,41,41,0.5,14.0,90.1,91.2,-0.53,1998
Boston Celtics,36,46,0.439,19.0,95.9,98.5,-1.96,1998
Philadelphia 76ers,31,51,0.378,24.0,93.3,95.7,-1.89,1998
Chicago Bulls,62,20,0.756,0.0,96.7,89.6,7.24,1998
Indiana Pacers,58,24,0.707,4.0,96.0,89.9,6.25,1998
Charlotte Hornets,51,31,0.622,11.0,96.6,94.6,2.45,1998
Atlanta Hawks,50,32,0.61,12.0,95.9,92.3,3.85,1998
Cleveland Cavaliers,47,35,0.573,15.0,92.5,89.8,3.06,1998
Detroit Pistons,37,45,0.451,25.0,94.2,92.6,1.95,1998
Milwaukee Bucks,36,46,0.439,26.0,94.5,96.4,-1.33,1998
Toronto Raptors,16,66,0.195,46.0,94.9,104.2,-8.33,1998
Miami Heat,33,17,0.66,0.0,89.0,84.0,5.11,1999
Orlando Magic,33,17,0.66,0.0,89.5,86.9,3.11,1999
Philadelphia 76ers,28,22,0.56,5.0,89.7,87.6,2.56,1999
New York Knicks,27,23,0.54,6.0,86.4,85.4,1.45,1999
Boston Celtics,19,31,0.38,14.0,93.0,94.9,-1.75,1999
Washington Wizards,18,32,0.36,15.0,91.2,93.4,-1.75,1999
New Jersey Nets,16,34,0.32,17.0,91.4,95.2,-3.2,1999
Indiana Pacers,33,17,0.66,0.0,94.7,90.9,3.86,1999
Atlanta Hawks,31,19,0.62,2.0,86.3,83.4,2.82,1999
Detroit Pistons,29,21,0.58,4.0,90.4,86.9,3.97,1999
Milwaukee Bucks,28,22,0.56,5.0,91.7,90.0,1.66,1999
Charlotte Hornets,26,24,0.52,7.0,92.9,93.0,0.63,1999
Toronto Raptors,23,27,0.46,10.0,91.1,92.8,-1.32,1999
Cleveland Cavaliers,22,28,0.44,11.0,86.4,88.2,-0.94,1999
Chicago Bulls,13,37,0.26,20.0,81.9,91.4,-8.58,1999
Miami Heat,52,30,0.634,0.0,94.4,91.3,2.75,2000
New York Knicks,50,32,0.61,2.0,92.1,90.7,1.3,2000
Philadelphia 76ers,49,33,0.598,3.0,94.8,93.4,1.02,2000
Orlando Magic,41,41,0.5,11.0,100.1,99.4,0.43,2000
Boston Celtics,35,47,0.427,17.0,99.3,100.1,-1.0,2000
New Jersey Nets,31,51,0.378,21.0,98.0,99.0,-1.18,2000
Washington Wizards,29,53,0.354,23.0,96.6,99.9,-3.47,2000
Indiana Pacers,56,26,0.683,0.0,101.3,96.7,4.15,2000
Charlotte Hornets,49,33,0.598,7.0,98.4,95.8,2.33,2000
Toronto Raptors,45,37,0.549,11.0,97.2,97.3,-0.46,2000
Detroit Pistons,42,40,0.512,14.0,103.5,102.0,1.13,2000
Milwaukee Bucks,42,40,0.512,14.0,101.2,101.0,-0.06,2000
Cleveland Cavaliers,32,50,0.39,24.0,97.0,100.5,-3.64,2000
Atlanta Hawks,28,54,0.341,28.0,94.3,99.7,-5.41,2000
Chicago Bulls,17,65,0.207,39.0,84.8,94.2,-9.23,2000
Philadelphia 76ers,56,26,0.683,0.0,94.7,90.4,3.64,2001
Miami Heat,50,32,0.61,6.0,88.9,86.6,1.73,2001
New York Knicks,48,34,0.585,8.0,88.7,86.1,1.98,2001
Orlando Magic,43,39,0.524,13.0,97.5,96.5,0.39,2001
Boston Celtics,36,46,0.439,20.0,94.6,96.8,-2.4,2001
New Jersey Nets,26,56,0.317,30.0,92.1,97.1,-5.3,2001
Washington Wizards,19,63,0.232,37.0,93.2,99.9,-6.75,2001
Milwaukee Bucks,52,30,0.634,0.0,100.7,96.9,3.14,2001
Toronto Raptors,47,35,0.573,5.0,97.6,95.4,1.69,2001
Charlotte Hornets,46,36,0.561,6.0,91.9,89.8,1.45,2001
Indiana Pacers,41,41,0.5,11.0,92.6,92.8,-0.77,2001
Detroit Pistons,32,50,0.39,20.0,95.6,97.3,-2.08,2001
Cleveland Cavaliers,30,52,0.366,22.0,92.2,96.5,-4.48,2001
Atlanta Hawks,25,57,0.305,27.0,91.0,96.2,-5.55,2001
Chicago Bulls,15,67,0.183,37.0,87.6,96.7,-9.09,2001
New Jersey Nets,52,30,0.634,0.0,96.2,92.0,3.67,2002
Boston Celtics,49,33,0.598,3.0,96.4,94.1,1.75,2002
Orlando Magic,44,38,0.537,8.0,100.5,98.9,1.25,2002
Philadelphia 76ers,43,39,0.524,9.0,91.0,89.4,1.27,2002
Washington Wizards,37,45,0.451,15.0,92.8,94.2,-1.58,2002
Miami Heat,36,46,0.439,16.0,87.2,88.7,-1.84,2002
New York Knicks,30,52,0.366,22.0,91.6,95.6,-4.15,2002
Detroit Pistons,50,32,0.61,0.0,94.3,92.2,1.69,2002
Charlotte Hornets,44,38,0.537,6.0,93.9,92.9,0.57,2002
Toronto Raptors,42,40,0.512,8.0,91.4,91.8,-0.71,2002
Indiana Pacers,42,40,0.512,8.0,96.8,96.5,-0.07,2002
Milwaukee Bucks,41,41,0.5,9.0,97.5,97.7,-0.62,2002
Atlanta Hawks,33,49,0.402,17.0,94.0,98.3,-4.41,2002
Cleveland Cavaliers,29,53,0.354,21.0,95.3,98.6,-3.52,2002
Chicago Bulls,21,61,0.256,29.0,89.5,98.0,-8.52,2002
New Jersey Nets,49,33,0.598,0.0,95.4,90.1,4.42,2003
Philadelphia 76ers,48,34,0.585,1.0,96.8,94.5,1.76,2003
Boston Celtics,44,38,0.537,5.0,92.7,93.1,-0.75,2003
Orlando Magic,42,40,0.512,7.0,98.5,98.4,-0.39,2003
Washington Wizards,37,45,0.451,12.0,91.5,92.5,-1.47,2003
New York Knicks,37,45,0.451,12.0,95.9,97.2,-1.61,2003
Miami Heat,25,57,0.305,24.0,85.6,90.6,-5.13,2003
Detroit Pistons,50,32,0.61,0.0,91.4,87.7,2.97,2003
Indiana Pacers,48,34,0.585,2.0,96.8,93.3,2.79,2003
New Orleans Hornets,47,35,0.573,3.0,93.9,91.8,1.52,2003
Milwaukee Bucks,42,40,0.512,8.0,99.5,99.3,-0.24,2003
Atlanta Hawks,35,47,0.427,15.0,94.1,97.6,-3.87,2003
Chicago Bulls,30,52,0.366,20.0,95.0,100.1,-5.31,2003
Toronto Raptors,24,58,0.293,26.0,90.9,96.8,-6.1,2003
Cleveland Cavaliers,17,65,0.207,33.0,91.4,101.0,-9.59,2003
New Jersey Nets,47,35,0.573,0.0,90.3,87.8,1.88,2004
Miami Heat,42,40,0.512,5.0,90.3,89.7,-0.13,2004
New York Knicks,39,43,0.476,8.0,92.0,93.5,-1.97,2004
Boston Celtics,36,46,0.439,11.0,95.3,96.7,-1.99,2004
Philadelphia 76ers,33,49,0.402,14.0,88.0,90.5,-2.95,2004
Washington Wizards,25,57,0.305,22.0,91.8,97.4,-6.12,2004
Orlando Magic,21,61,0.256,26.0,94.0,101.1,-7.25,2004
Indiana Pacers,61,21,0.744,0.0,91.4,85.6,4.93,2004
Detroit Pistons,54,28,0.659,7.0,90.1,84.3,5.04,2004
New Orleans Hornets,41,41,0.5,20.0,91.8,91.9,-0.72,2004
Milwaukee Bucks,41,41,0.5,20.0,98.0,97.0,0.42,2004
Cleveland Cavaliers,35,47,0.427,26.0,92.9,95.5,-3.07,2004
Toronto Raptors,33,49,0.402,28.0,85.4,88.5,-3.42,2004
Atlanta Hawks,28,54,0.341,33.0,92.8,97.5,-5.0,2004
Chicago Bulls,23,59,0.28,38.0,89.7,96.0,-6.69,2004
Boston Celtics,45,37,0.549,0.0,101.3,100.4,0.35,2005
Philadelphia 76ers,43,39,0.524,2.0,99.1,99.9,-1.07,2005
New Jersey Nets,42,40,0.512,3.0,91.4,92.9,-1.82,2005
Toronto Raptors,33,49,0.402,12.0,99.7,101.4,-1.81,2005
New York Knicks,33,49,0.402,12.0,97.3,99.7,-2.72,2005
Detroit Pistons,54,28,0.659,0.0,93.3,89.5,3.31,2005
Chicago Bulls,47,35,0.573,7.0,94.5,93.4,0.65,2005
Indiana Pacers,44,38,0.537,10.0,93.0,92.2,0.49,2005
Cleveland Cavaliers,42,40,0.512,12.0,96.5,95.7,0.27,2005
Milwaukee Bucks,30,52,0.366,24.0,97.2,100.2,-3.09,2005
Miami Heat,59,23,0.72,0.0,101.5,95.0,5.77,2005
Washington Wizards,45,37,0.549,14.0,100.5,100.8,-0.71,2005
Orlando Magic,36,46,0.439,23.0,99.5,101.8,-2.52,2005
Charlotte Bobcats,18,64,0.22,41.0,94.3,100.2,-6.15,2005
Atlanta Hawks,13,69,0.159,46.0,92.7,102.5,-9.62,2005
New Jersey Nets,49,33,0.598,0.0,93.8,92.4,1.11,2006
Philadelphia 76ers,38,44,0.463,11.0,99.4,101.3,-2.1,2006
Boston Celtics,33,49,0.402,16.0,98.0,99.5,-1.59,2006
Toronto Raptors,27,55,0.329,22.0,101.1,104.0,-3.03,2006
New York Knicks,23,59,0.28,26.0,95.6,102.0,-6.3,2006
Detroit Pistons,64,18,0.78,0.0,96.8,90.2,6.24,2006
Cleveland Cavaliers,50,32,0.61,14.0,97.6,95.4,2.17,2006
Indiana Pacers,41,41,0.5,23.0,93.9,92.0,1.62,2006
Chicago Bulls,41,41,0.5,23.0,97.8,97.2,0.51,2006
Milwaukee Bucks,40,42,0.488,24.0,97.8,98.8,-1.07,2006
Miami Heat,52,30,0.634,0.0,99.9,96.0,3.59,2006
Washington Wizards,42,40,0.512,10.0,101.7,99.8,1.57,2006
Orlando Magic,36,46,0.439,16.0,94.9,96.0,-1.26,2006
Charlotte Bobcats,26,56,0.317,26.0,96.9,100.9,-3.9,2006
Atlanta Hawks,26,56,0.317,26.0,97.2,102.0,-4.69,2006
Toronto Raptors,47,35,0.573,0.0,99.5,98.5,0.61,2007
New Jersey Nets,41,41,0.5,6.0,97.6,98.3,-1.0,2007
Philadelphia 76ers,35,47,0.427,12.0,94.9,98.0,-3.26,2007
New York Knicks,33,49,0.402,14.0,97.5,100.3,-3.06,2007
Boston Celtics,24,58,0.293,23.0,95.8,99.2,-3.7,2007
Detroit Pistons,53,29,0.646,0.0,96.0,91.8,3.69,2007
Cleveland Cavaliers,50,32,0.61,3.0,96.8,92.9,3.33,2007
Chicago Bulls,49,33,0.598,4.0,98.8,93.8,4.52,2007
Indiana Pacers,35,47,0.427,18.0,95.6,98.0,-2.62,2007
Milwaukee Bucks,28,54,0.341,25.0,99.7,104.0,-4.43,2007
Miami Heat,44,38,0.537,0.0,94.6,95.5,-1.21,2007
Washington Wizards,41,41,0.5,3.0,104.3,104.9,-0.8,2007
Orlando Magic,40,42,0.488,4.0,94.8,94.0,0.35,2007
Charlotte Bobcats,33,49,0.402,11.0,96.9,100.6,-3.97,2007
Atlanta Hawks,30,52,0.366,14.0,93.7,98.4,-4.86,2007
Boston Celtics,66,16,0.805,0.0,100.5,90.3,9.3,2008
Toronto Raptors,41,41,0.5,25.0,100.2,97.3,2.47,2008
Philadelphia 76ers,40,42,0.488,26.0,96.6,96.2,0.19,2008
New Jersey Nets,34,48,0.415,32.0,95.8,100.9,-5.15,2008
New York Knicks,23,59,0.28,43.0,96.9,103.5,-6.55,2008
Detroit Pistons,59,23,0.72,0.0,97.5,90.1,6.67,2008
Cleveland Cavaliers,45,37,0.549,14.0,96.4,96.7,-0.53,2008
Indiana Pacers,36,46,0.439,23.0,104.0,105.4,-1.87,2008
Chicago Bulls,33,49,0.402,26.0,97.3,100.4,-3.19,2008
Milwaukee Bucks,26,56,0.317,33.0,97.0,103.9,-6.92,2008
Orlando Magic,52,30,0.634,0.0,104.5,99.0,4.79,2008
Washington Wizards,43,39,0.524,9.0,98.8,99.2,-0.61,2008
Atlanta Hawks,37,45,0.451,15.0,98.2,100.0,-2.23,2008
Charlotte Bobcats,32,50,0.39,20.0,97.1,101.4,-4.49,2008
Miami Heat,15,67,0.183,37.0,91.4,100.0,-8.53,2008
Boston Celtics,62,20,0.756,0.0,100.9,93.4,7.44,2009
Philadelphia 76ers,41,41,0.5,21.0,97.4,97.3,0.16,2009
New Jersey Nets,34,48,0.415,28.0,98.1,100.5,-2.31,2009
Toronto Raptors,33,49,0.402,29.0,99.0,101.9,-2.54,2009
New York Knicks,32,50,0.39,30.0,105.2,107.8,-2.33,2009
Cleveland Cavaliers,66,16,0.805,0.0,100.3,91.4,8.68,2009
Chicago Bulls,41,41,0.5,25.0,102.2,102.5,-0.16,2009
Detroit Pistons,39,43,0.476,27.0,94.2,94.7,-0.36,2009
Indiana Pacers,36,46,0.439,30.0,105.1,106.2,-0.76,2009
Milwaukee Bucks,34,48,0.415,32.0,99.3,100.4,-0.88,2009
Orlando Magic,59,23,0.72,0.0,101.0,94.4,6.48,2009
Atlanta Hawks,47,35,0.573,12.0,98.1,96.5,1.7,2009
Miami Heat,43,39,0.524,16.0,98.3,98.0,0.49,2009
Charlotte Bobcats,35,47,0.427,24.0,93.6,94.9,-1.2,2009
Washington Wizards,19,63,0.232,40.0,96.1,103.5,-6.98,2009
Boston Celtics,50,32,0.61,0.0,99.2,95.6,3.37,2010
Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,2010
